image_id,image_name,perception_type,score_run_id,score
1,corr_image_1.jpg,safe,1,7
1,corr_image_1.jpg,lively,1,8
1,corr_image_1.jpg,beautiful,1,6
1,corr_image_1.jpg,wealthy,1,6
1,corr_image_1.jpg,depressing,1,4
1,corr_image_1.jpg,boring,1,5
1,corr_image_1.jpg,safe,2,7
1,corr_image_1.jpg,lively,2,8
1,corr_image_1.jpg,beautiful,2,6
1,corr_image_1.jpg,wealthy,2,7
1,corr_image_1.jpg,depressing,2,4
1,corr_image_1.jpg,boring,2,4
1,corr_image_1.jpg,safe,3,7
1,corr_image_1.jpg,lively,3,8
1,corr_image_1.jpg,beautiful,3,6
1,corr_image_1.jpg,wealthy,3,7
1,corr_image_1.jpg,depressing,3,4
1,corr_image_1.jpg,boring,3,5
1,corr_image_1.jpg,safe,4,7
1,corr_image_1.jpg,lively,4,8
1,corr_image_1.jpg,beautiful,4,5
1,corr_image_1.jpg,wealthy,4,6.5
1,corr_image_1.jpg,depressing,4,4
1,corr_image_1.jpg,boring,4,3
1,corr_image_1.jpg,safe,5,7
1,corr_image_1.jpg,lively,5,8
1,corr_image_1.jpg,beautiful,5,6
1,corr_image_1.jpg,wealthy,5,6
1,corr_image_1.jpg,depressing,5,4
1,corr_image_1.jpg,boring,5,5
1,corr_image_1.jpg,safe,6,7
1,corr_image_1.jpg,lively,6,8
1,corr_image_1.jpg,beautiful,6,5
1,corr_image_1.jpg,wealthy,6,6
1,corr_image_1.jpg,depressing,6,4
1,corr_image_1.jpg,boring,6,5
1,corr_image_1.jpg,safe,7,7
1,corr_image_1.jpg,lively,7,8
1,corr_image_1.jpg,beautiful,7,5
1,corr_image_1.jpg,wealthy,7,6
1,corr_image_1.jpg,depressing,7,4
1,corr_image_1.jpg,boring,7,4
1,corr_image_1.jpg,safe,8,7
1,corr_image_1.jpg,lively,8,8
1,corr_image_1.jpg,beautiful,8,6
1,corr_image_1.jpg,wealthy,8,6
1,corr_image_1.jpg,depressing,8,4
1,corr_image_1.jpg,boring,8,4
1,corr_image_1.jpg,safe,9,7
1,corr_image_1.jpg,lively,9,8
1,corr_image_1.jpg,beautiful,9,6
1,corr_image_1.jpg,wealthy,9,7
1,corr_image_1.jpg,depressing,9,4
1,corr_image_1.jpg,boring,9,5
1,corr_image_1.jpg,safe,10,7
1,corr_image_1.jpg,lively,10,8
1,corr_image_1.jpg,beautiful,10,6
1,corr_image_1.jpg,wealthy,10,6
1,corr_image_1.jpg,depressing,10,4
1,corr_image_1.jpg,boring,10,5
2,corr_image_2.jpg,safe,1,8
2,corr_image_2.jpg,lively,1,7
2,corr_image_2.jpg,beautiful,1,8
2,corr_image_2.jpg,wealthy,1,7
2,corr_image_2.jpg,depressing,1,3
2,corr_image_2.jpg,boring,1,4
2,corr_image_2.jpg,safe,2,8
2,corr_image_2.jpg,lively,2,7
2,corr_image_2.jpg,beautiful,2,8
2,corr_image_2.jpg,wealthy,2,7
2,corr_image_2.jpg,depressing,2,3
2,corr_image_2.jpg,boring,2,4
2,corr_image_2.jpg,safe,3,8
2,corr_image_2.jpg,lively,3,7.5
2,corr_image_2.jpg,beautiful,3,8
2,corr_image_2.jpg,wealthy,3,7
2,corr_image_2.jpg,depressing,3,3
2,corr_image_2.jpg,boring,3,4
2,corr_image_2.jpg,safe,4,8
2,corr_image_2.jpg,lively,4,7
2,corr_image_2.jpg,beautiful,4,8
2,corr_image_2.jpg,wealthy,4,7
2,corr_image_2.jpg,depressing,4,3
2,corr_image_2.jpg,boring,4,4
2,corr_image_2.jpg,safe,5,8
2,corr_image_2.jpg,lively,5,8
2,corr_image_2.jpg,beautiful,5,9
2,corr_image_2.jpg,wealthy,5,8
2,corr_image_2.jpg,depressing,5,2
2,corr_image_2.jpg,boring,5,3
2,corr_image_2.jpg,safe,6,8
2,corr_image_2.jpg,lively,6,8.5
2,corr_image_2.jpg,beautiful,6,9
2,corr_image_2.jpg,wealthy,6,7.5
2,corr_image_2.jpg,depressing,6,3
2,corr_image_2.jpg,boring,6,4
2,corr_image_2.jpg,safe,7,8
2,corr_image_2.jpg,lively,7,7
2,corr_image_2.jpg,beautiful,7,8
2,corr_image_2.jpg,wealthy,7,7
2,corr_image_2.jpg,depressing,7,3
2,corr_image_2.jpg,boring,7,4
2,corr_image_2.jpg,safe,8,8
2,corr_image_2.jpg,lively,8,7
2,corr_image_2.jpg,beautiful,8,8
2,corr_image_2.jpg,wealthy,8,7
2,corr_image_2.jpg,depressing,8,3
2,corr_image_2.jpg,boring,8,4
2,corr_image_2.jpg,safe,9,8
2,corr_image_2.jpg,lively,9,7
2,corr_image_2.jpg,beautiful,9,8
2,corr_image_2.jpg,wealthy,9,7
2,corr_image_2.jpg,depressing,9,3
2,corr_image_2.jpg,boring,9,4
2,corr_image_2.jpg,safe,10,8
2,corr_image_2.jpg,lively,10,7
2,corr_image_2.jpg,beautiful,10,8
2,corr_image_2.jpg,wealthy,10,7
2,corr_image_2.jpg,depressing,10,3
2,corr_image_2.jpg,boring,10,4
3,corr_image_3.jpg,safe,1,5
