perception,image_left,image_right,winner
safe,corr_image_85.jpg,corr_image_21.jpg,corr_image_85.jpg
lively,corr_image_85.jpg,corr_image_21.jpg,corr_image_21.jpg
beautiful,corr_image_85.jpg,corr_image_21.jpg,corr_image_21.jpg
wealthy,corr_image_85.jpg,corr_image_21.jpg,corr_image_85.jpg
depressing,corr_image_85.jpg,corr_image_21.jpg,corr_image_85.jpg
boring,corr_image_85.jpg,corr_image_21.jpg,corr_image_85.jpg
safe,corr_image_9.jpg,corr_image_46.jpg,corr_image_46.jpg
lively,corr_image_9.jpg,corr_image_46.jpg,corr_image_9.jpg
beautiful,corr_image_9.jpg,corr_image_46.jpg,corr_image_9.jpg
wealthy,corr_image_9.jpg,corr_image_46.jpg,corr_image_46.jpg
depressing,corr_image_9.jpg,corr_image_46.jpg,corr_image_46.jpg
boring,corr_image_9.jpg,corr_image_46.jpg,corr_image_46.jpg
safe,corr_image_94.jpg,corr_image_42.jpg,corr_image_94.jpg
lively,corr_image_94.jpg,corr_image_42.jpg,corr_image_42.jpg
beautiful,corr_image_94.jpg,corr_image_42.jpg,corr_image_94.jpg
wealthy,corr_image_94.jpg,corr_image_42.jpg,corr_image_42.jpg
depressing,corr_image_94.jpg,corr_image_42.jpg,equal
boring,corr_image_94.jpg,corr_image_42.jpg,corr_image_94.jpg
safe,corr_image_86.jpg,corr_image_53.jpg,corr_image_86.jpg
lively,corr_image_86.jpg,corr_image_53.jpg,corr_image_86.jpg
beautiful,corr_image_86.jpg,corr_image_53.jpg,corr_image_86.jpg
wealthy,corr_image_86.jpg,corr_image_53.jpg,corr_image_53.jpg
depressing,corr_image_86.jpg,corr_image_53.jpg,corr_image_53.jpg
boring,corr_image_86.jpg,corr_image_53.jpg,corr_image_53.jpg
safe,corr_image_1.jpg,corr_image_83.jpg,corr_image_83.jpg
lively,corr_image_1.jpg,corr_image_83.jpg,corr_image_83.jpg
beautiful,corr_image_1.jpg,corr_image_83.jpg,corr_image_83.jpg
wealthy,corr_image_1.jpg,corr_image_83.jpg,corr_image_83.jpg
depressing,corr_image_1.jpg,corr_image_83.jpg,corr_image_1.jpg
boring,corr_image_1.jpg,corr_image_83.jpg,corr_image_1.jpg
safe,corr_image_13.jpg,corr_image_21.jpg,corr_image_13.jpg
lively,corr_image_13.jpg,corr_image_21.jpg,corr_image_21.jpg
beautiful,corr_image_13.jpg,corr_image_21.jpg,corr_image_21.jpg
wealthy,corr_image_13.jpg,corr_image_21.jpg,corr_image_13.jpg
depressing,corr_image_13.jpg,corr_image_21.jpg,corr_image_13.jpg
boring,corr_image_13.jpg,corr_image_21.jpg,corr_image_13.jpg
safe,corr_image_52.jpg,corr_image_59.jpg,corr_image_59.jpg
lively,corr_image_52.jpg,corr_image_59.jpg,equal
beautiful,corr_image_52.jpg,corr_image_59.jpg,corr_image_59.jpg
wealthy,corr_image_52.jpg,corr_image_59.jpg,corr_image_59.jpg
depressing,corr_image_52.jpg,corr_image_59.jpg,corr_image_52.jpg
boring,corr_image_52.jpg,corr_image_59.jpg,corr_image_52.jpg
safe,corr_image_78.jpg,corr_image_97.jpg,corr_image_97.jpg
lively,corr_image_78.jpg,corr_image_97.jpg,corr_image_97.jpg
beautiful,corr_image_78.jpg,corr_image_97.jpg,corr_image_97.jpg
