perception,image_left,image_right,winner
safe,corr_location_0046_left.jpg,corr_location_0121_right.jpg,corr_location_0046_left.jpg
lively,corr_location_0046_left.jpg,corr_location_0121_right.jpg,corr_location_0046_left.jpg
beautiful,corr_location_0046_left.jpg,corr_location_0121_right.jpg,corr_location_0046_left.jpg
wealthy,corr_location_0046_left.jpg,corr_location_0121_right.jpg,corr_location_0046_left.jpg
depressing,corr_location_0046_left.jpg,corr_location_0121_right.jpg,corr_location_0121_right.jpg
boring,corr_location_0046_left.jpg,corr_location_0121_right.jpg,corr_location_0121_right.jpg
safe,corr_location_0115_forward.jpg,corr_location_0040_right.jpg,corr_location_0040_right.jpg
lively,corr_location_0115_forward.jpg,corr_location_0040_right.jpg,corr_location_0115_forward.jpg
beautiful,corr_location_0115_forward.jpg,corr_location_0040_right.jpg,corr_location_0040_right.jpg
wealthy,corr_location_0115_forward.jpg,corr_location_0040_right.jpg,corr_location_0040_right.jpg
depressing,corr_location_0115_forward.jpg,corr_location_0040_right.jpg,corr_location_0115_forward.jpg
boring,corr_location_0115_forward.jpg,corr_location_0040_right.jpg,corr_location_0040_right.jpg
safe,corr_location_0025_left.jpg,corr_location_0076_right.jpg,corr_location_0025_left.jpg
lively,corr_location_0025_left.jpg,corr_location_0076_right.jpg,corr_location_0076_right.jpg
beautiful,corr_location_0025_left.jpg,corr_location_0076_right.jpg,corr_location_0025_left.jpg
wealthy,corr_location_0025_left.jpg,corr_location_0076_right.jpg,corr_location_0076_right.jpg
depressing,corr_location_0025_left.jpg,corr_location_0076_right.jpg,corr_location_0076_right.jpg
boring,corr_location_0025_left.jpg,corr_location_0076_right.jpg,corr_location_0025_left.jpg
safe,corr_location_0128_forward.jpg,corr_location_0150_forward.jpg,corr_location_0128_forward.jpg
lively,corr_location_0128_forward.jpg,corr_location_0150_forward.jpg,corr_location_0128_forward.jpg
beautiful,corr_location_0128_forward.jpg,corr_location_0150_forward.jpg,corr_location_0128_forward.jpg
wealthy,corr_location_0128_forward.jpg,corr_location_0150_forward.jpg,corr_location_0128_forward.jpg
depressing,corr_location_0128_forward.jpg,corr_location_0150_forward.jpg,corr_location_0150_forward.jpg
boring,corr_location_0128_forward.jpg,corr_location_0150_forward.jpg,corr_location_0150_forward.jpg
safe,corr_location_0056_left.jpg,corr_location_0008_right.jpg,corr_location_0056_left.jpg
lively,corr_location_0056_left.jpg,corr_location_0008_right.jpg,corr_location_0056_left.jpg
beautiful,corr_location_0056_left.jpg,corr_location_0008_right.jpg,corr_location_0056_left.jpg
wealthy,corr_location_0056_left.jpg,corr_location_0008_right.jpg,corr_location_0056_left.jpg
depressing,corr_location_0056_left.jpg,corr_location_0008_right.jpg,corr_location_0008_right.jpg
boring,corr_location_0056_left.jpg,corr_location_0008_right.jpg,corr_location_0008_right.jpg
safe,corr_location_0068_forward.jpg,corr_location_0098_left.jpg,corr_location_0098_left.jpg
lively,corr_location_0068_forward.jpg,corr_location_0098_left.jpg,corr_location_0068_forward.jpg
beautiful,corr_location_0068_forward.jpg,corr_location_0098_left.jpg,corr_location_0098_left.jpg
wealthy,corr_location_0068_forward.jpg,corr_location_0098_left.jpg,corr_location_0098_left.jpg
depressing,corr_location_0068_forward.jpg,corr_location_0098_left.jpg,corr_location_0068_forward.jpg
boring,corr_location_0068_forward.jpg,corr_location_0098_left.jpg,corr_location_0098_left.jpg
safe,corr_location_0143_left.jpg,corr_location_0126_forward.jpg,corr_location_0126_forward.jpg
lively,corr_location_0143_left.jpg,corr_location_0126_forward.jpg,corr_location_0143_left.jpg
beautiful,corr_location_0143_left.jpg,corr_location_0126_forward.jpg,corr_location_0126_forward.jpg
wealthy,corr_location_0143_left.jpg,corr_location_0126_forward.jpg,corr_location_0126_forward.jpg
depressing,corr_location_0143_left.jpg,corr_location_0126_forward.jpg,corr_location_0126_forward.jpg
boring,corr_location_0143_left.jpg,corr_location_0126_forward.jpg,corr_location_0126_forward.jpg
safe,corr_location_0055_forward.jpg,corr_location_0019_rear.jpg,corr_location_0055_forward.jpg
lively,corr_location_0055_forward.jpg,corr_location_0019_rear.jpg,corr_location_0055_forward.jpg
beautiful,corr_location_0055_forward.jpg,corr_location_0019_rear.jpg,corr_location_0055_forward.jpg
wealthy,corr_location_0055_forward.jpg,corr_location_0019_rear.jpg,corr_location_0055_forward.jpg
depressing,corr_location_0055_forward.jpg,corr_location_0019_rear.jpg,corr_location_0019_rear.jpg
boring,corr_location_0055_forward.jpg,corr_location_0019_rear.jpg,corr_location_0019_rear.jpg
safe,corr_location_0046_left.jpg,corr_location_0083_rear.jpg,corr_location_0046_left.jpg
lively,corr_location_0046_left.jpg,corr_location_0083_rear.jpg,corr_location_0046_left.jpg
beautiful,corr_location_0046_left.jpg,corr_location_0083_rear.jpg,corr_location_0046_left.jpg
wealthy,corr_location_0046_left.jpg,corr_location_0083_rear.jpg,corr_location_0046_left.jpg
depressing,corr_location_0046_left.jpg,corr_location_0083_rear.jpg,corr_location_0083_rear.jpg
boring,corr_location_0046_left.jpg,corr_location_0083_rear.jpg,corr_location_0083_rear.jpg
safe,corr_location_0139_right.jpg,corr_location_0110_rear.jpg,corr_location_0110_rear.jpg
