Perception,Visual Element,Coefficient (β),P-value
safe,sky,-1.2417978177425735,0.622826965791588
safe,building,-1.3236397905070318,0.3424330557945201
safe,road,1.0021334190577478,0.33408135551888085
safe,tree,4.227807397670868,0.01675600048749195
safe,sidewalk,0.937103274106635,0.6349509827224822
safe,person,5.048292055123534,0.2383386598736412
safe,car,5.178109962896218,0.1386824459986758
safe,grass,0.8741321802238051,0.8589726882416863
safe,wall,0.8766334965686449,0.7582785233479263
safe,fence,-0.1823409246002513,0.9383532369265046
safe,pole,-22.6263661265537,0.7505991891638982
safe,signboard,-77.02801169487886,0.306261273824533
lively,sky,-2.625837008889849,0.47699500769305614
lively,building,1.0900789399630804,0.5920812130157234
lively,road,2.0662576220443913,0.1739893167914739
lively,tree,2.784094375874147,0.27544923617609834
lively,sidewalk,-0.1497163334911092,0.9585841159822868
lively,person,2.7733965828104576,0.6565968457175567
lively,car,11.152741532630934,0.03016102370565406
lively,grass,16.14057085952406,0.02665259057437775
lively,wall,4.646340049187057,0.2658134660738625
lively,fence,1.015328470732632,0.7682950383554218
lively,pole,-80.90134691507498,0.43738753563430244
lively,signboard,33.67839268520218,0.7589722888686269
beautiful,sky,3.6479499682514445,0.21256694570435894
beautiful,building,-0.2686462440699043,0.8672290077290836
beautiful,road,-3.6300267782441753,0.003004442480627794
beautiful,tree,8.132713861499598,0.00010189644930838114
beautiful,sidewalk,-4.319071536234759,0.06036885691180933
beautiful,person,-9.278436837187236,0.062052914362882614
beautiful,car,-0.2914552193211142,0.9421572983221261
beautiful,grass,-2.0124121176052396,0.7233214198241196
beautiful,wall,-1.196676888231932,0.7161356464983258
beautiful,fence,0.6652630951742922,0.8070497150927755
beautiful,pole,-18.36861962994397,0.82321968298217
beautiful,signboard,10.095473641324626,0.9073442690331038
wealthy,sky,-2.5753608141784605,0.29469841194843427
wealthy,building,0.46323591324421204,0.7317717697673799
wealthy,road,-1.017625155067969,0.3126729902400376
wealthy,tree,2.8828334450499566,0.09067591872305708
wealthy,sidewalk,-0.6531490068729828,0.7332633803691964
wealthy,person,-4.310317351034952,0.29955564216822017
wealthy,car,8.524396094416735,0.012999306741450733
wealthy,grass,3.3271415543214786,0.4867568544998353
wealthy,wall,-0.43023449923520174,0.8764056532990107
wealthy,fence,3.0230915748678164,0.1887545835082115
wealthy,pole,-111.32330374896141,0.10963469324103907
wealthy,signboard,77.09545297743013,0.2918412445705607
depressing,sky,0.08087892830221831,0.9784635300457549
depressing,building,-0.28223795006570607,0.8643270032789641
depressing,road,-1.0218359289396017,0.4065421446307561
depressing,tree,-6.39171215119076,0.0025393344568414907
depressing,sidewalk,-0.3537915504433768,0.8799496968006797
depressing,person,3.853159485038388,0.4475217059001665
depressing,car,-4.441678356908589,0.2834669297086344
depressing,grass,-5.448702488789963,0.3519958773994277
depressing,wall,0.6812719391501644,0.8403525732507088
depressing,fence,0.5531579614942447,0.8433777086446559
depressing,pole,58.090683266958344,0.4923412900713524
depressing,signboard,-17.632699445003787,0.8432386526257705
boring,sky,-5.111102171608559,0.20462438844771508
boring,building,-1.673611931678902,0.4499613910782915
boring,road,-1.011335909410937,0.5393070460560014
boring,tree,-5.210236507086981,0.062240222356037274
boring,sidewalk,1.1853430629915893,0.7056428082972068
boring,person,-3.176609314978073,0.6397910664249238
boring,car,-13.832589752180542,0.013802423286607945
boring,grass,-23.254692826110492,0.0036394589640503516
boring,wall,-5.520448680161835,0.2246386867416262
boring,fence,-0.4922087360145314,0.8955567790714977
boring,pole,113.82943579883343,0.315780403892486
boring,signboard,-101.96489767786721,0.3940278212169309
