baseline_id,image_name,perception_type,score_run_id,score
1,baseline,safe,1,7
1,baseline,lively,1,8
1,baseline,beautiful,1,6
1,baseline,wealthy,1,6
1,baseline,depressing,1,4
1,baseline,boring,1,5
1,baseline,safe,2,7
1,baseline,lively,2,8
1,baseline,beautiful,2,6
1,baseline,wealthy,2,7
1,baseline,depressing,2,4
1,baseline,boring,2,4
1,baseline,safe,3,7
1,baseline,lively,3,8
1,baseline,beautiful,3,6
1,baseline,wealthy,3,7
1,baseline,depressing,3,4
1,baseline,boring,3,5
1,baseline,safe,4,7
1,baseline,lively,4,8
1,baseline,beautiful,4,5
1,baseline,wealthy,4,6.5
1,baseline,depressing,4,4
1,baseline,boring,4,3
1,baseline,safe,5,7
1,baseline,lively,5,8
1,baseline,beautiful,5,6
1,baseline,wealthy,5,6
1,baseline,depressing,5,4
1,baseline,boring,5,5
1,baseline,safe,6,7
1,baseline,lively,6,8
1,baseline,beautiful,6,5
1,baseline,wealthy,6,6
1,baseline,depressing,6,4
1,baseline,boring,6,5
1,baseline,safe,7,7
1,baseline,lively,7,8
1,baseline,beautiful,7,5
1,baseline,wealthy,7,6
1,baseline,depressing,7,4
1,baseline,boring,7,4
1,baseline,safe,8,7
1,baseline,lively,8,8
1,baseline,beautiful,8,6
1,baseline,wealthy,8,6
1,baseline,depressing,8,4
1,baseline,boring,8,4
1,baseline,safe,9,7
1,baseline,lively,9,8
1,baseline,beautiful,9,6
1,baseline,wealthy,9,7
1,baseline,depressing,9,4
1,baseline,boring,9,5
1,baseline,safe,10,7
1,baseline,lively,10,8
1,baseline,beautiful,10,6
1,baseline,wealthy,10,6
1,baseline,depressing,10,4
1,baseline,boring,10,5
1,add_a_bridge,safe,1,6
1,add_a_bridge,lively,1,7
1,add_a_bridge,beautiful,1,5
1,add_a_bridge,wealthy,1,6
1,add_a_bridge,depressing,1,4
1,add_a_bridge,boring,1,5
1,add_a_bridge,safe,2,7
1,add_a_bridge,lively,2,8
1,add_a_bridge,beautiful,2,6
1,add_a_bridge,wealthy,2,5
1,add_a_bridge,depressing,2,4
1,add_a_bridge,boring,2,5
1,add_a_bridge,safe,3,7
1,add_a_bridge,lively,3,8
1,add_a_bridge,beautiful,3,6
1,add_a_bridge,wealthy,3,7
1,add_a_bridge,depressing,3,4
1,add_a_bridge,boring,3,5
1,add_a_bridge,safe,4,7
1,add_a_bridge,lively,4,8
1,add_a_bridge,beautiful,4,6
1,add_a_bridge,wealthy,4,6
1,add_a_bridge,depressing,4,4
1,add_a_bridge,boring,4,5
1,add_a_bridge,safe,5,7
1,add_a_bridge,lively,5,8
1,add_a_bridge,beautiful,5,5
1,add_a_bridge,wealthy,5,6
1,add_a_bridge,depressing,5,4
1,add_a_bridge,boring,5,3
1,add_a_bridge,safe,6,7
1,add_a_bridge,lively,6,8
1,add_a_bridge,beautiful,6,6
1,add_a_bridge,wealthy,6,7
1,add_a_bridge,depressing,6,4
1,add_a_bridge,boring,6,5
1,add_a_bridge,safe,7,7
1,add_a_bridge,lively,7,8
1,add_a_bridge,beautiful,7,6
1,add_a_bridge,wealthy,7,7
1,add_a_bridge,depressing,7,4
1,add_a_bridge,boring,7,5
1,add_a_bridge,safe,8,7
1,add_a_bridge,lively,8,8
1,add_a_bridge,beautiful,8,6
1,add_a_bridge,wealthy,8,7
1,add_a_bridge,depressing,8,4
1,add_a_bridge,boring,8,5
1,add_a_bridge,safe,9,7
1,add_a_bridge,lively,9,8
1,add_a_bridge,beautiful,9,6
1,add_a_bridge,wealthy,9,6
1,add_a_bridge,depressing,9,4
1,add_a_bridge,boring,9,5
1,add_a_bridge,safe,10,7
1,add_a_bridge,lively,10,8
1,add_a_bridge,beautiful,10,6
1,add_a_bridge,wealthy,10,7
1,add_a_bridge,depressing,10,4
1,add_a_bridge,boring,10,5
1,add_a_building,safe,1,7
1,add_a_building,lively,1,8
1,add_a_building,beautiful,1,6
1,add_a_building,wealthy,1,7
1,add_a_building,depressing,1,5
1,add_a_building,boring,1,5
1,add_a_building,safe,2,7
1,add_a_building,lively,2,8
1,add_a_building,beautiful,2,6
1,add_a_building,wealthy,2,7
1,add_a_building,depressing,2,4
1,add_a_building,boring,2,5
1,add_a_building,safe,3,7
1,add_a_building,lively,3,8
1,add_a_building,beautiful,3,6
1,add_a_building,wealthy,3,7
1,add_a_building,depressing,3,4
1,add_a_building,boring,3,5
1,add_a_building,safe,4,7
1,add_a_building,lively,4,8
1,add_a_building,beautiful,4,6
1,add_a_building,wealthy,4,6
1,add_a_building,depressing,4,4
1,add_a_building,boring,4,5
1,add_a_building,safe,5,7
1,add_a_building,lively,5,8
1,add_a_building,beautiful,5,6
1,add_a_building,wealthy,5,6
1,add_a_building,depressing,5,4
1,add_a_building,boring,5,5
1,add_a_building,safe,6,6.5
1,add_a_building,lively,6,7.5
1,add_a_building,beautiful,6,5.5
1,add_a_building,wealthy,6,6
1,add_a_building,depressing,6,4.5
1,add_a_building,boring,6,5
1,add_a_building,safe,7,7
1,add_a_building,lively,7,8
1,add_a_building,beautiful,7,6
1,add_a_building,wealthy,7,7
1,add_a_building,depressing,7,4
1,add_a_building,boring,7,5
1,add_a_building,safe,8,7
1,add_a_building,lively,8,8
1,add_a_building,beautiful,8,6
1,add_a_building,wealthy,8,7
1,add_a_building,depressing,8,4
1,add_a_building,boring,8,5
1,add_a_building,safe,9,7
1,add_a_building,lively,9,8
1,add_a_building,beautiful,9,6
1,add_a_building,wealthy,9,7
1,add_a_building,depressing,9,4
1,add_a_building,boring,9,5
1,add_a_building,safe,10,7
1,add_a_building,lively,10,8
1,add_a_building,beautiful,10,5
1,add_a_building,wealthy,10,6
1,add_a_building,depressing,10,4
1,add_a_building,boring,10,3
1,add_a_car,safe,1,6
1,add_a_car,lively,1,7
1,add_a_car,beautiful,1,5
1,add_a_car,wealthy,1,6
1,add_a_car,depressing,1,4
1,add_a_car,boring,1,5
1,add_a_car,safe,2,7
1,add_a_car,lively,2,8
1,add_a_car,beautiful,2,6
1,add_a_car,wealthy,2,6
1,add_a_car,depressing,2,4
1,add_a_car,boring,2,5
1,add_a_car,safe,3,7
1,add_a_car,lively,3,8
1,add_a_car,beautiful,3,6
1,add_a_car,wealthy,3,7
1,add_a_car,depressing,3,4
1,add_a_car,boring,3,5
1,add_a_car,safe,4,7
1,add_a_car,lively,4,8
1,add_a_car,beautiful,4,6
1,add_a_car,wealthy,4,6.5
1,add_a_car,depressing,4,4
1,add_a_car,boring,4,5
1,add_a_car,safe,5,7
1,add_a_car,lively,5,8
1,add_a_car,beautiful,5,5
1,add_a_car,wealthy,5,6
1,add_a_car,depressing,5,4
1,add_a_car,boring,5,5
1,add_a_car,safe,6,7
1,add_a_car,lively,6,8
1,add_a_car,beautiful,6,6
1,add_a_car,wealthy,6,6
1,add_a_car,depressing,6,4
1,add_a_car,boring,6,5
