perception,image_left,image_right,winner
safe,corr_location_0114_rear_add_individual_several_buildings.jpg,corr_location_0101_forward_add_individual_the_amount_of_visible_sky.jpg,corr_location_0101_forward_add_individual_the_amount_of_visible_sky.jpg
lively,corr_location_0114_rear_add_individual_several_buildings.jpg,corr_location_0101_forward_add_individual_the_amount_of_visible_sky.jpg,corr_location_0114_rear_add_individual_several_buildings.jpg
beautiful,corr_location_0114_rear_add_individual_several_buildings.jpg,corr_location_0101_forward_add_individual_the_amount_of_visible_sky.jpg,corr_location_0101_forward_add_individual_the_amount_of_visible_sky.jpg
wealthy,corr_location_0114_rear_add_individual_several_buildings.jpg,corr_location_0101_forward_add_individual_the_amount_of_visible_sky.jpg,corr_location_0114_rear_add_individual_several_buildings.jpg
depressing,corr_location_0114_rear_add_individual_several_buildings.jpg,corr_location_0101_forward_add_individual_the_amount_of_visible_sky.jpg,corr_location_0114_rear_add_individual_several_buildings.jpg
boring,corr_location_0114_rear_add_individual_several_buildings.jpg,corr_location_0101_forward_add_individual_the_amount_of_visible_sky.jpg,corr_location_0101_forward_add_individual_the_amount_of_visible_sky.jpg
safe,corr_location_0114_rear_add_individual_some_grass.jpg,corr_location_0066_left_add_individual_some_trucks.jpg,corr_location_0114_rear_add_individual_some_grass.jpg
lively,corr_location_0114_rear_add_individual_some_grass.jpg,corr_location_0066_left_add_individual_some_trucks.jpg,corr_location_0066_left_add_individual_some_trucks.jpg
beautiful,corr_location_0114_rear_add_individual_some_grass.jpg,corr_location_0066_left_add_individual_some_trucks.jpg,corr_location_0114_rear_add_individual_some_grass.jpg
wealthy,corr_location_0114_rear_add_individual_some_grass.jpg,corr_location_0066_left_add_individual_some_trucks.jpg,corr_location_0114_rear_add_individual_some_grass.jpg
depressing,corr_location_0114_rear_add_individual_some_grass.jpg,corr_location_0066_left_add_individual_some_trucks.jpg,corr_location_0066_left_add_individual_some_trucks.jpg
boring,corr_location_0114_rear_add_individual_some_grass.jpg,corr_location_0066_left_add_individual_some_trucks.jpg,corr_location_0114_rear_add_individual_some_grass.jpg
safe,corr_location_0101_forward_add_individual_a_bridge.jpg,corr_location_0104_forward_add_individual_a_bridge.jpg,corr_location_0101_forward_add_individual_a_bridge.jpg
lively,corr_location_0101_forward_add_individual_a_bridge.jpg,corr_location_0104_forward_add_individual_a_bridge.jpg,corr_location_0104_forward_add_individual_a_bridge.jpg
beautiful,corr_location_0101_forward_add_individual_a_bridge.jpg,corr_location_0104_forward_add_individual_a_bridge.jpg,corr_location_0104_forward_add_individual_a_bridge.jpg
wealthy,corr_location_0101_forward_add_individual_a_bridge.jpg,corr_location_0104_forward_add_individual_a_bridge.jpg,corr_location_0101_forward_add_individual_a_bridge.jpg
depressing,corr_location_0101_forward_add_individual_a_bridge.jpg,corr_location_0104_forward_add_individual_a_bridge.jpg,corr_location_0104_forward_add_individual_a_bridge.jpg
boring,corr_location_0101_forward_add_individual_a_bridge.jpg,corr_location_0104_forward_add_individual_a_bridge.jpg,corr_location_0101_forward_add_individual_a_bridge.jpg
safe,corr_location_0142_left_add_individual_a_bridge.jpg,"corr_location_0101_forward_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg","corr_location_0101_forward_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg"
lively,corr_location_0142_left_add_individual_a_bridge.jpg,"corr_location_0101_forward_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0142_left_add_individual_a_bridge.jpg
beautiful,corr_location_0142_left_add_individual_a_bridge.jpg,"corr_location_0101_forward_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0142_left_add_individual_a_bridge.jpg
wealthy,corr_location_0142_left_add_individual_a_bridge.jpg,"corr_location_0101_forward_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg","corr_location_0101_forward_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg"
depressing,corr_location_0142_left_add_individual_a_bridge.jpg,"corr_location_0101_forward_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg","corr_location_0101_forward_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg"
boring,corr_location_0142_left_add_individual_a_bridge.jpg,"corr_location_0101_forward_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg","corr_location_0101_forward_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg"
safe,corr_location_0101_forward_add_individual_some_cars.jpg,corr_location_0042_rear_add_individual_a_bridge.jpg,corr_location_0101_forward_add_individual_some_cars.jpg
lively,corr_location_0101_forward_add_individual_some_cars.jpg,corr_location_0042_rear_add_individual_a_bridge.jpg,corr_location_0042_rear_add_individual_a_bridge.jpg
beautiful,corr_location_0101_forward_add_individual_some_cars.jpg,corr_location_0042_rear_add_individual_a_bridge.jpg,corr_location_0101_forward_add_individual_some_cars.jpg
wealthy,corr_location_0101_forward_add_individual_some_cars.jpg,corr_location_0042_rear_add_individual_a_bridge.jpg,corr_location_0101_forward_add_individual_some_cars.jpg
depressing,corr_location_0101_forward_add_individual_some_cars.jpg,corr_location_0042_rear_add_individual_a_bridge.jpg,corr_location_0042_rear_add_individual_a_bridge.jpg
boring,corr_location_0101_forward_add_individual_some_cars.jpg,corr_location_0042_rear_add_individual_a_bridge.jpg,corr_location_0101_forward_add_individual_some_cars.jpg
safe,"corr_location_0114_rear_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0066_left_add_individual_some_trees.jpg,"corr_location_0114_rear_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg"
lively,"corr_location_0114_rear_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0066_left_add_individual_some_trees.jpg,corr_location_0066_left_add_individual_some_trees.jpg
beautiful,"corr_location_0114_rear_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0066_left_add_individual_some_trees.jpg,"corr_location_0114_rear_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg"
wealthy,"corr_location_0114_rear_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0066_left_add_individual_some_trees.jpg,"corr_location_0114_rear_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg"
depressing,"corr_location_0114_rear_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0066_left_add_individual_some_trees.jpg,corr_location_0066_left_add_individual_some_trees.jpg
boring,"corr_location_0114_rear_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0066_left_add_individual_some_trees.jpg,"corr_location_0114_rear_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg"
safe,corr_location_0042_rear_add_individual_the_amount_of_visible_sky.jpg,corr_location_0039_left_add_individual_the_amount_of_visible_sky.jpg,corr_location_0039_left_add_individual_the_amount_of_visible_sky.jpg
lively,corr_location_0042_rear_add_individual_the_amount_of_visible_sky.jpg,corr_location_0039_left_add_individual_the_amount_of_visible_sky.jpg,corr_location_0042_rear_add_individual_the_amount_of_visible_sky.jpg
beautiful,corr_location_0042_rear_add_individual_the_amount_of_visible_sky.jpg,corr_location_0039_left_add_individual_the_amount_of_visible_sky.jpg,corr_location_0042_rear_add_individual_the_amount_of_visible_sky.jpg
wealthy,corr_location_0042_rear_add_individual_the_amount_of_visible_sky.jpg,corr_location_0039_left_add_individual_the_amount_of_visible_sky.jpg,corr_location_0039_left_add_individual_the_amount_of_visible_sky.jpg
depressing,corr_location_0042_rear_add_individual_the_amount_of_visible_sky.jpg,corr_location_0039_left_add_individual_the_amount_of_visible_sky.jpg,corr_location_0039_left_add_individual_the_amount_of_visible_sky.jpg
boring,corr_location_0042_rear_add_individual_the_amount_of_visible_sky.jpg,corr_location_0039_left_add_individual_the_amount_of_visible_sky.jpg,corr_location_0039_left_add_individual_the_amount_of_visible_sky.jpg
safe,"corr_location_0079_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0042_rear_add_individual_some_trucks.jpg,"corr_location_0079_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg"
lively,"corr_location_0079_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0042_rear_add_individual_some_trucks.jpg,"corr_location_0079_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg"
beautiful,"corr_location_0079_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0042_rear_add_individual_some_trucks.jpg,"corr_location_0079_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg"
wealthy,"corr_location_0079_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0042_rear_add_individual_some_trucks.jpg,"corr_location_0079_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg"
depressing,"corr_location_0079_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0042_rear_add_individual_some_trucks.jpg,corr_location_0042_rear_add_individual_some_trucks.jpg
boring,"corr_location_0079_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0042_rear_add_individual_some_trucks.jpg,corr_location_0042_rear_add_individual_some_trucks.jpg
safe,corr_location_0142_left_add_individual_some_grass.jpg,corr_location_0020_rear_add_individual_the_amount_of_visible_sky.jpg,corr_location_0142_left_add_individual_some_grass.jpg
lively,corr_location_0142_left_add_individual_some_grass.jpg,corr_location_0020_rear_add_individual_the_amount_of_visible_sky.jpg,corr_location_0142_left_add_individual_some_grass.jpg
beautiful,corr_location_0142_left_add_individual_some_grass.jpg,corr_location_0020_rear_add_individual_the_amount_of_visible_sky.jpg,corr_location_0142_left_add_individual_some_grass.jpg
wealthy,corr_location_0142_left_add_individual_some_grass.jpg,corr_location_0020_rear_add_individual_the_amount_of_visible_sky.jpg,corr_location_0142_left_add_individual_some_grass.jpg
depressing,corr_location_0142_left_add_individual_some_grass.jpg,corr_location_0020_rear_add_individual_the_amount_of_visible_sky.jpg,corr_location_0020_rear_add_individual_the_amount_of_visible_sky.jpg
boring,corr_location_0142_left_add_individual_some_grass.jpg,corr_location_0020_rear_add_individual_the_amount_of_visible_sky.jpg,corr_location_0020_rear_add_individual_the_amount_of_visible_sky.jpg
safe,corr_location_0142_left.jpg,corr_location_0104_forward.jpg,corr_location_0142_left.jpg
lively,corr_location_0142_left.jpg,corr_location_0104_forward.jpg,corr_location_0104_forward.jpg
beautiful,corr_location_0142_left.jpg,corr_location_0104_forward.jpg,corr_location_0104_forward.jpg
wealthy,corr_location_0142_left.jpg,corr_location_0104_forward.jpg,corr_location_0142_left.jpg
depressing,corr_location_0142_left.jpg,corr_location_0104_forward.jpg,corr_location_0142_left.jpg
boring,corr_location_0142_left.jpg,corr_location_0104_forward.jpg,corr_location_0142_left.jpg
safe,"corr_location_0114_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg","corr_location_0020_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg","corr_location_0114_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg"
lively,"corr_location_0114_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg","corr_location_0020_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg","corr_location_0114_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg"
beautiful,"corr_location_0114_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg","corr_location_0020_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg","corr_location_0114_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg"
wealthy,"corr_location_0114_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg","corr_location_0020_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg","corr_location_0114_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg"
depressing,"corr_location_0114_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg","corr_location_0020_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg","corr_location_0020_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg"
boring,"corr_location_0114_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg","corr_location_0020_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg","corr_location_0020_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg"
safe,corr_location_0079_left_add_individual_some_road_intersections.jpg,"corr_location_0039_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0079_left_add_individual_some_road_intersections.jpg
lively,corr_location_0079_left_add_individual_some_road_intersections.jpg,"corr_location_0039_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0079_left_add_individual_some_road_intersections.jpg
beautiful,corr_location_0079_left_add_individual_some_road_intersections.jpg,"corr_location_0039_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0079_left_add_individual_some_road_intersections.jpg
wealthy,corr_location_0079_left_add_individual_some_road_intersections.jpg,"corr_location_0039_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",corr_location_0079_left_add_individual_some_road_intersections.jpg
depressing,corr_location_0079_left_add_individual_some_road_intersections.jpg,"corr_location_0039_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg","corr_location_0039_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg"
boring,corr_location_0079_left_add_individual_some_road_intersections.jpg,"corr_location_0039_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg","corr_location_0039_left_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg"
safe,corr_location_0039_left_add_individual_a_bridge.jpg,corr_location_0020_rear_add_individual_a_body_of_water.jpg,corr_location_0020_rear_add_individual_a_body_of_water.jpg
lively,corr_location_0039_left_add_individual_a_bridge.jpg,corr_location_0020_rear_add_individual_a_body_of_water.jpg,corr_location_0020_rear_add_individual_a_body_of_water.jpg
beautiful,corr_location_0039_left_add_individual_a_bridge.jpg,corr_location_0020_rear_add_individual_a_body_of_water.jpg,corr_location_0039_left_add_individual_a_bridge.jpg
wealthy,corr_location_0039_left_add_individual_a_bridge.jpg,corr_location_0020_rear_add_individual_a_body_of_water.jpg,corr_location_0039_left_add_individual_a_bridge.jpg
depressing,corr_location_0039_left_add_individual_a_bridge.jpg,corr_location_0020_rear_add_individual_a_body_of_water.jpg,corr_location_0020_rear_add_individual_a_body_of_water.jpg
boring,corr_location_0039_left_add_individual_a_bridge.jpg,corr_location_0020_rear_add_individual_a_body_of_water.jpg,corr_location_0020_rear_add_individual_a_body_of_water.jpg
safe,corr_location_0101_forward_add_individual_a_body_of_water.jpg,corr_location_0079_left_add_individual_some_road_intersections.jpg,corr_location_0101_forward_add_individual_a_body_of_water.jpg
lively,corr_location_0101_forward_add_individual_a_body_of_water.jpg,corr_location_0079_left_add_individual_some_road_intersections.jpg,corr_location_0079_left_add_individual_some_road_intersections.jpg
beautiful,corr_location_0101_forward_add_individual_a_body_of_water.jpg,corr_location_0079_left_add_individual_some_road_intersections.jpg,corr_location_0079_left_add_individual_some_road_intersections.jpg
wealthy,corr_location_0101_forward_add_individual_a_body_of_water.jpg,corr_location_0079_left_add_individual_some_road_intersections.jpg,corr_location_0101_forward_add_individual_a_body_of_water.jpg
depressing,corr_location_0101_forward_add_individual_a_body_of_water.jpg,corr_location_0079_left_add_individual_some_road_intersections.jpg,corr_location_0079_left_add_individual_some_road_intersections.jpg
