filename,ratio_wall,ratio_building,ratio_sky,ratio_floor,ratio_tree,ratio_ceiling,ratio_road,ratio_bed,ratio_windowpane,ratio_grass,ratio_cabinet,ratio_sidewalk,ratio_person,ratio_earth,ratio_door,ratio_table,ratio_mountain,ratio_plant,ratio_curtain,ratio_chair,ratio_car,ratio_water,ratio_painting,ratio_sofa,ratio_shelf,ratio_house,ratio_sea,ratio_mirror,ratio_rug,ratio_field,ratio_armchair,ratio_seat,ratio_fence,ratio_desk,ratio_rock,ratio_wardrobe,ratio_lamp,ratio_bathtub,ratio_railing,ratio_cushion,ratio_base,ratio_box,ratio_column,ratio_signboard,ratio_chest,ratio_counter,ratio_sand,ratio_sink,ratio_skyscraper,ratio_fireplace,ratio_refrigerator,ratio_grandstand,ratio_path,ratio_stairs,ratio_runway,ratio_case,ratio_pool,ratio_pillow,ratio_screen,ratio_stairway,ratio_river,ratio_bridge,ratio_bookcase,ratio_blind,ratio_coffee,ratio_toilet,ratio_flower,ratio_book,ratio_hill,ratio_bench,ratio_countertop,ratio_stove,ratio_palm,ratio_kitchen,ratio_computer,ratio_swivel,ratio_boat,ratio_bar,ratio_arcade,ratio_hovel,ratio_bus,ratio_towel,ratio_light,ratio_truck,ratio_tower,ratio_chandelier,ratio_awning,ratio_streetlight,ratio_booth,ratio_television,ratio_airplane,ratio_dirt,ratio_apparel,ratio_pole,ratio_land,ratio_bannister,ratio_escalator,ratio_ottoman,ratio_bottle,ratio_buffet,ratio_poster,ratio_stage,ratio_van,ratio_ship,ratio_fountain,ratio_conveyer,ratio_canopy,ratio_washer,ratio_plaything,ratio_swimming,ratio_stool,ratio_barrel,ratio_basket,ratio_waterfall,ratio_tent,ratio_bag,ratio_minibike,ratio_cradle,ratio_oven,ratio_ball,ratio_food,ratio_step,ratio_tank,ratio_trade,ratio_microwave,ratio_pot,ratio_animal,ratio_bicycle,ratio_lake,ratio_dishwasher,ratio_blanket,ratio_sculpture,ratio_hood,ratio_sconce,ratio_vase,ratio_traffic,ratio_tray,ratio_ashcan,ratio_fan,ratio_pier,ratio_crt,ratio_plate,ratio_monitor,ratio_bulletin,ratio_shower,ratio_radiator,ratio_glass,ratio_clock,ratio_flag
corr_location_0020_rear.jpg,0.0,0.6352128982543945,0.02058124542236328,0.0,0.00013828277587890625,0.0,0.09606266021728516,0.0,0.0,0.04038047790527344,0.0,0.2076244354248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"corr_location_0020_rear_add_category_add_more_built_environment_structures,_such_as_buildings,_fences,_and_walls.jpg",0.0,0.6351156234741211,0.020273208618164062,0.0,0.0004425048828125,0.0,0.12806224822998047,0.0,0.0,0.032634735107421875,0.0,0.18234729766845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011243820190429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"corr_location_0020_rear_add_category_add_more_traffic_elements_to_the_scene,_such_as_cars,_trucks,_bridges,_and_roads.jpg",0.0,0.45905494689941406,0.03954505920410156,0.0,0.0,0.0,0.2227029800415039,0.0,0.0,0.010602951049804688,0.0,0.051802635192871094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12662601470947266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08746719360351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000820159912109375,0.0,0.0013780593872070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"corr_location_0020_rear_add_category_add_natural_greenery_to_the_scene,_such_as_trees,_grass,_sky,_water,_and_bushes.jpg",0.0,0.5901393890380859,0.018293380737304688,0.0,0.026353836059570312,0.0,0.15615367889404297,0.0,0.0,0.04661083221435547,0.0,0.12190437316894531,0.0,0.0,0.0,0.0,0.0,0.02358245849609375,0.0,0.0,0.00013065338134765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021839141845703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016613006591796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corr_location_0020_rear_add_individual_a_body_of_water.jpg,0.027375221252441406,0.6392755508422852,0.020026206970214844,0.0,0.0,0.0,0.0,0.0,0.0,0.043417930603027344,0.0,0.09466171264648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17524337768554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corr_location_0020_rear_add_individual_a_bridge.jpg,0.0,0.6363935470581055,0.020395278930664062,0.0,0.0,0.0,0.1640148162841797,0.0,0.0,0.0,0.0,0.17919635772705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corr_location_0020_rear_add_individual_a_few_walls.jpg,0.0,0.6174106597900391,0.020647048950195312,0.0,0.0,0.0,0.15874385833740234,0.0,0.0,0.034636497497558594,0.0,0.16449356079101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040683746337890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corr_location_0020_rear_add_individual_several_buildings.jpg,0.0,0.6315221786499023,0.023743629455566406,0.0,0.00015735626220703125,0.0,0.12984561920166016,0.0,0.0,0.039153099060058594,0.0,0.17557811737060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corr_location_0020_rear_add_individual_some_cars.jpg,0.0,0.5739202499389648,0.02057933807373047,0.0,0.0,0.0,0.24678325653076172,0.0,0.0,0.0,0.0,0.03812885284423828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12058830261230469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corr_location_0020_rear_add_individual_some_fence.jpg,0.0,0.6165218353271484,0.02041339874267578,0.0,0.0,0.0,0.03084564208984375,0.0,0.0,0.027505874633789062,0.0,0.28191375732421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02279949188232422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
