benchmark,contrast,estimate,ci_low,ci_high,n,pair_denominator,complete_profiles,chance_reference,q_value
Urban Scaling,Road,0.6815397449294656,0.6553059222216426,0.7070282953528833,100,,,,
Urban Scaling,GDP,1.0338220034025647,1.007901661320214,1.0609716392108839,100,,,,
Distance Decay,Inner density exceeds outer density,0.8160000000000001,0.7719999999999999,0.858,100,1000.0,67.0,,
Vitality,Complete H > M > L,0.8157894736842105,0.665811419288686,0.9077823481477872,38,,,0.16666666666666666,
Vitality,H > M,0.8421052631578947,0.6958318822077686,0.9255613658484106,38,,,0.5,
Vitality,H > L,0.8421052631578947,0.6958318822077686,0.9255613658484106,38,,,0.5,
Vitality,M > L,0.8157894736842105,0.665811419288686,0.9077823481477872,38,,,0.5,
Perception,Natural - Beautiful,2.2333333333333334,1.65,2.7916666666666665,12,,,,0.0029296875
Perception,Natural - Depressing,-2.775,-3.5666666666666664,-2.025,12,,,,0.0029296875
Perception,Natural - Lively,1.1916666666666669,0.7333333333333334,1.6583333333333332,12,,,,0.00439453125
Perception,Natural - Safe,1.0916666666666666,0.7166666666666667,1.4333333333333331,12,,,,0.00439453125
Perception,Natural - Wealthy,1.35,0.9166666666666666,1.85,12,,,,0.003515625
Perception,Natural - Boring,-1.1916666666666669,-1.5,-0.9166666666666666,12,,,,0.0029296875
Perception,Traffic - Beautiful,-0.7666666666666666,-1.25,-0.3416666666666667,12,,,,0.0078125
Perception,Traffic - Depressing,0.0833333333333333,-0.3,0.475,12,,,,0.796875
Perception,Traffic - Lively,1.4583333333333333,0.9583333333333334,2.0083333333333333,12,,,,0.003515625
Perception,Traffic - Safe,-0.4083333333333334,-0.8666666666666667,0.0499999999999999,12,,,,0.22265625
Perception,Traffic - Wealthy,0.2416666666666667,-0.0499999999999999,0.5083333333333334,12,,,,0.2310267857142857
Perception,Traffic - Boring,-0.375,-0.8583333333333334,0.0833333333333333,12,,,,0.234375
Perception,Built - Beautiful,0.4833333333333333,-0.0416666666666666,0.9833333333333334,12,,,,0.2109375
Perception,Built - Depressing,-1.0666666666666669,-1.775,-0.4166666666666667,12,,,,0.028125
Perception,Built - Lively,0.15,-0.0583333333333333,0.375,12,,,,0.3515625
Perception,Built - Safe,0.3416666666666666,-0.1166666666666667,0.725,12,,,,0.2310267857142857
Perception,Built - Wealthy,0.975,0.6416666666666667,1.2916666666666667,12,,,,0.00439453125
Perception,Built - Boring,0.0583333333333333,-0.2333333333333333,0.35,12,,,,0.796875
