panel,theory,series,cell_id,closed_value,closed_ci_low,closed_ci_high,open_value,open_ci_low,open_ci_high,metric,n_carriers,n_scenes,decoder_block,estimate,selected,ci_low,ci_high,condition,theme,dimension
a,Urban Scaling,gdp,C02,0.8318922577951201,0.6691563446869636,1.0088937065997676,1.4871097165873997,1.242453324894,1.6094379124340998,Δ log outcome,6.0,,,,,,,,,
a,Urban Scaling,gdp,C03,1.7947860197449597,1.5469697810384753,2.0796462633950967,2.187060562900721,1.9560115027140723,2.302585092994045,Δ log outcome,6.0,,,,,,,,,
a,Urban Scaling,gdp,C04,2.597027162778036,2.2010145656291136,3.030832774884316,3.63697968760242,3.086893051950968,3.912023005428146,Δ log outcome,6.0,,,,,,,,,
a,Urban Scaling,gdp,C05,3.324619395215245,2.8730479683698564,3.7942951029043392,4.309844045666112,3.719191765022153,4.605170185988091,Δ log outcome,6.0,,,,,,,,,
a,Urban Scaling,gdp,C06,3.965335411031122,3.447293936076765,4.526182906186715,5.134845824379416,4.349757374105096,5.756462732485114,Δ log outcome,6.0,,,,,,,,,
a,Urban Scaling,gdp,C07,4.637524519923812,4.020103868983631,5.284354889866425,5.946368446349841,5.063315551925169,6.561181688702163,Δ log outcome,6.0,,,,,,,,,
a,Urban Scaling,gdp,C08,5.380163389828041,4.738781428836515,6.0506362815879084,6.755040157003111,5.64489095682801,7.712474235199186,Δ log outcome,6.0,,,,,,,,,
a,Urban Scaling,gdp,C09,6.139328416547024,5.408075035880223,6.932182279913396,7.4135807767666835,6.234218454998832,8.405621415759134,Δ log outcome,6.0,,,,,,,,,
a,Urban Scaling,gdp,C10,6.78861023223931,6.015987980841867,7.580071482757907,8.36447806943721,6.907755278982137,9.66848573791326,Δ log outcome,6.0,,,,,,,,,
a,Urban Scaling,gdp,C11,7.279280390316194,6.433828070029771,8.142766964773749,9.009678237921865,7.457061423316193,10.361632918473209,Δ log outcome,6.0,,,,,,,,,
a,Urban Scaling,gdp,C12,7.771442610396153,6.871456345055719,8.628904253307178,11.971070830907308,9.66848573791326,13.122363377404328,Δ log outcome,6.0,,,,,,,,,
a,Urban Scaling,road,C02,0.5863926621156148,0.4789998260505294,0.6937854981807002,0.5173624092915374,0.5108256237659905,0.5304359803426313,Δ log outcome,6.0,,,,,,,,,
a,Urban Scaling,road,C03,1.217237444355524,1.014840812574474,1.4612533218912291,1.0180198448974276,0.9808292530117256,1.0924010286688308,Δ log outcome,6.0,,,,,,,,,
