panel,component,metric,estimate,ci_low,ci_high,requested_n,changed_input
a,O,road_beta_abs_error,0.0106421832978432,-0.0162963256818108,0.038193176078721,,
a,R,road_beta_abs_error,-0.0433829254979955,-0.0716678088733584,-0.0155536072942638,,
a,H,road_beta_abs_error,-0.0145107341614448,-0.0397570769354166,0.0139389484073878,,
a,O,gdp_beta_abs_error,0.0065331170457758,-0.030775137706307,0.0426612962887743,,
a,R,gdp_beta_abs_error,-0.0851100719430993,-0.1205650919057154,-0.0487390216674759,,
a,H,gdp_beta_abs_error,-0.0109888953568824,-0.041162617653026,0.0217775061217518,,
b,,complete table rate,1.0,1.0,1.0,20.0,
b,,complete table rate,0.9,0.84,0.95,50.0,
b,,complete table rate,0.91,0.85,0.96,100.0,
b,,complete table rate,0.56,0.46,0.66,200.0,
b,,complete table rate,0.05,0.01,0.1,300.0,
c,,road_beta_mean,0.8275188404091378,,,20.0,
c,,road_beta_mean,0.8514842919960298,,,50.0,
c,,road_beta_mean,0.8399129148010015,,,100.0,
c,,road_beta_mean,0.792663185300604,,,200.0,
c,,road_beta_mean,0.7964712204832058,,,300.0,
c,,gdp_beta_mean,1.009542468809374,,,20.0,
c,,gdp_beta_mean,1.0253028073072572,,,50.0,
c,,gdp_beta_mean,1.0515541800909052,,,100.0,
c,,gdp_beta_mean,0.9671891749229296,,,200.0,
c,,gdp_beta_mean,1.049069219495346,,,300.0,
d,,output response slope,0.6057118708382186,0.5601931401542414,0.6492840762821863,,road
d,,output response slope,0.3508888374639691,0.311286275661447,0.3899231784154183,,gdp
