panel,source,metric,estimate,ci_low,ci_high
a,Baseline,alpha_hat,1.4292370592299068,1.3788666106005938,1.4756522857788008
a,Blueprint,alpha_hat,1.6912159124674249,1.630460839391978,1.7409306133583355
a,Empirical,alpha_hat,2.354316087435858,0.5784794325331213,3.976620718519961
b,Baseline,c_hat,0.0096671767030621,0.0085115871360468,0.0108326202235332
b,Blueprint,c_hat,0.0156286393936631,0.0135832614028516,0.0213138415475384
b,Empirical,c_hat,0.0475910302975378,0.0064024691422389,0.1577930858849543
c,Baseline,D_hat_km,22.891659015919284,21.815469517159805,24.560451207678472
c,Blueprint,D_hat_km,37.11386539210978,35.02481788237355,40.432844666811626
c,Empirical,D_hat_km,22.448856284430555,6.186725804587957,52.24334944386819
d,Baseline,unique_value_ratio,0.4,,
d,Baseline,normalized_second_difference,0.0032798833819242,,
d,Blueprint,unique_value_ratio,0.55,,
d,Blueprint,normalized_second_difference,0.0047946889599213,,
d,Empirical,unique_value_ratio,0.32,,
d,Empirical,normalized_second_difference,0.0177345818217472,,
