panel,source,feature,estimate,ci_low,ci_high,variant,metric,component
a,Baseline,residential_density,0.5993276423326742,,,,,
a,Baseline,functional_mix,0.1710734525158354,,,,,
a,Baseline,short_blocks,0.1364579977551033,,,,,
a,Baseline,aged_buildings,-0.0483017581607388,,,,,
a,Baseline,tall_buildings,-0.0453733010110835,,,,,
a,Blueprint,residential_density,0.6988741810649853,,,,,
a,Blueprint,functional_mix,0.0808019809148658,,,,,
a,Blueprint,short_blocks,0.157217851166468,,,,,
a,Blueprint,aged_buildings,-0.0752738696533454,,,,,
a,Blueprint,tall_buildings,-0.071668111531301,,,,,
a,Empirical,residential_density,0.2871113618435384,-0.0199127079746801,0.594135431661757,,,
a,Empirical,functional_mix,0.3119621227090868,0.0681517307626764,0.5557725146554973,,,
a,Empirical,short_blocks,-0.8413143130933598,-1.5735307012747173,-0.1090979249120022,,,
a,Empirical,aged_buildings,1.1890916852143532,0.4734538203221409,1.9047295501065653,,,
a,Empirical,tall_buildings,0.0800376200008416,-0.1452476936049114,0.3053229336065947,,,
b,,,0.6034722222222222,0.5152173913043478,0.6813333333333333,primary,pair accuracy,
b,,,0.5916666666666667,0.5123188405797101,0.6673611111111111,paraphrase,pair accuracy,
b,,,0.5975694444444445,0.5146598484848486,0.6737654320987654,pooled,pair accuracy,
c,,,-0.0046052631578947,-0.0277105263157894,0.0179743421052631,,unique_ratio_pedestrian_activity,O
c,,,-0.0791315789473684,-0.099816447368421,-0.0580256578947368,,unique_ratio_pedestrian_activity,R
c,,,0.0788684210526315,0.0577098684210526,0.0995276315789473,,unique_ratio_pedestrian_activity,H
