panel,dimension,metric,estimate,ci_low,ci_high,component
a,safety,kappa,0.2453987838226192,0.1947833037951442,0.2956046970547821,
a,lively,kappa,0.1576242147344375,0.1058218674366376,0.2072493487058928,
a,beautiful,kappa,0.2719747952653256,0.2179580930576469,0.3205672852392491,
a,wealthy,kappa,0.2510176197660185,0.2003077982921561,0.2995351657627096,
a,depressing,kappa,0.1874336702275355,0.1391396358336709,0.2340831805270453,
a,boring,kappa,0.1558311933061981,0.1097686597626357,0.2039655752097236,
b,safety,accuracy,0.572,0.54,0.6020249999999998,
b,lively,accuracy,0.528,0.497,0.558,
b,beautiful,accuracy,0.594,0.561,0.624,
b,wealthy,accuracy,0.579,0.549,0.609,
b,depressing,accuracy,0.523,0.491,0.553,
b,boring,accuracy,0.501,0.47,0.532,
c,,within-generated CLIP distance,0.0419316093493251,0.0319910683133813,0.0513325455405976,O
c,,within-generated CLIP distance,-0.0213264037486499,-0.0312139198306644,-0.011420250270864,R
c,,within-generated CLIP distance,0.0179160825817197,0.0080933896780406,0.0272490888838183,H
d,,d_clip,0.2859124658575856,0.2738523034996717,0.2984294368879913,
d,,real_to_generated_nn_similarity,0.8757605221569538,0.8670398980379105,0.8844835251569748,
d,,generated_to_real_nn_similarity,0.8755955013632775,0.8664270922541618,0.8840169623494148,
d,,centroid_cosine_distance_to_real,0.0040126802027225,0.0025408923625946,0.0063635498285293,
