panel,encoder,metric,estimate,ci_low,ci_high,theme,dimension,condition
a,CLIP,within_generated_pairwise_cosine_distance,0.03757985140188835,,,,,
a,DINOv2,within_generated_pairwise_cosine_distance,0.09433944676093575,0.02666354396107254,0.1647252045923277,,,
a,ResNet-50,within_generated_pairwise_cosine_distance,0.015065555957437082,0.0018673839942279697,0.02773204192700291,,,
b,CLIP,real_to_generated_nn_similarity,-0.024613380432128906,-0.05153511017560959,-0.006539534032344825,,,
b,DINOv2,real_to_generated_nn_similarity,-0.058095842599868774,-0.11364521682262421,-0.004073129594326019,,,
b,ResNet-50,real_to_generated_nn_similarity,0.0006735920906066895,-0.005874906480312347,0.008500732481479631,,,
c,,,2.2333333333333334,,,natural_elements,Beautiful,
c,,,-2.775,,,natural_elements,Depressing,
c,,,1.1916666666666669,,,natural_elements,Lively,
c,,,1.0916666666666666,,,natural_elements,Safe,
c,,,1.35,,,natural_elements,Wealthy,
c,,,-1.1916666666666669,,,natural_elements,Boring,
c,,,-0.7666666666666666,,,traffic_elements,Beautiful,
c,,,0.0833333333333333,,,traffic_elements,Depressing,
c,,,1.4583333333333333,,,traffic_elements,Lively,
c,,,-0.4083333333333334,,,traffic_elements,Safe,
c,,,0.2416666666666667,,,traffic_elements,Wealthy,
c,,,-0.375,,,traffic_elements,Boring,
c,,,0.4833333333333333,,,built_elements,Beautiful,
c,,,-1.0666666666666669,,,built_elements,Depressing,
c,,,0.15,,,built_elements,Lively,
c,,,0.3416666666666666,,,built_elements,Safe,
c,,,0.975,,,built_elements,Wealthy,
c,,,0.0583333333333333,,,built_elements,Boring,
d,,,1.2083333333333333,0.6656250000000009,1.8333333333333333,,Beautiful,tree_canopy
d,,,-1.525,-2.3583333333333334,-0.6666666666666666,,Depressing,tree_canopy
d,,,1.0416666666666667,0.5416666666666666,1.5416666666666667,,Lively,visible_activity
d,,,0.9583333333333334,0.75,1.1666666666666667,,Safe,facade_repair
d,,,0.9416666666666668,0.6749999999999999,1.25,,Wealthy,facade_repair
