panel,theory,metric,estimate,hidden_state_index,stage,pass_flag
a,scaling,behavior gate,0.5501129610083421,,,
a,decay,behavior gate,0.8620538605118342,,,
a,vitality,behavior gate,1.2944549723379906,,,
b,scaling,confirmation AUC,0.9444444444444444,17.0,,
b,scaling,confirmation AUC,1.0,33.0,,
b,scaling,confirmation AUC,1.0,49.0,,
b,scaling,confirmation AUC,1.0,65.0,,
b,decay,confirmation AUC,0.6388888888888888,17.0,,
b,decay,confirmation AUC,0.75,33.0,,
b,decay,confirmation AUC,0.8611111111111112,49.0,,
b,decay,confirmation AUC,1.0,65.0,,
b,vitality,confirmation AUC,0.6111111111111112,17.0,,
b,vitality,confirmation AUC,1.0,33.0,,
b,vitality,confirmation AUC,1.0,49.0,,
b,vitality,confirmation AUC,1.0,65.0,,
c,scaling,joint generation effect,0.0,,,
c,vitality,joint generation effect,0.0,,,
d,scaling,,,,0.0,1.0
d,scaling,,,,1.0,1.0
d,scaling,,,,2.0,0.0
d,decay,,,,0.0,1.0
d,decay,,,,1.0,0.0
d,decay,,,,2.0,0.0
d,vitality,,,,0.0,1.0
d,vitality,,,,1.0,1.0
d,vitality,,,,2.0,0.0
