panel,condition,theme,dimension,estimate,ci_low,ci_high
a,Clean,natural_elements,Beautiful,7.907552083333333,,
a,Clean,natural_elements,Depressing,-6.598958333333333,,
a,Clean,natural_elements,Lively,4.9296875,,
a,Clean,natural_elements,Safe,3.052083333333333,,
a,Clean,natural_elements,Wealthy,3.47265625,,
a,Clean,natural_elements,Boring,-5.52734375,,
a,Clean,traffic_elements,Beautiful,-1.0208333333333333,,
a,Clean,traffic_elements,Depressing,-1.0950520833333333,,
a,Clean,traffic_elements,Lively,5.700520833333333,,
a,Clean,traffic_elements,Safe,-2.4296875,,
a,Clean,traffic_elements,Wealthy,0.29296875,,
a,Clean,traffic_elements,Boring,-3.501302083333333,,
a,Clean,built_elements,Beautiful,1.1927083333333333,,
a,Clean,built_elements,Depressing,-0.58203125,,
a,Clean,built_elements,Lively,0.3684895833333333,,
a,Clean,built_elements,Safe,1.78125,,
a,Clean,built_elements,Wealthy,1.6145833333333333,,
a,Clean,built_elements,Boring,-0.5078125,,
a,Theme→sham,natural_elements,Beautiful,0.5234375,,
a,Theme→sham,natural_elements,Depressing,-1.9010416666666667,,
a,Theme→sham,natural_elements,Lively,1.03125,,
a,Theme→sham,natural_elements,Safe,-0.2604166666666667,,
a,Theme→sham,natural_elements,Wealthy,0.0520833333333333,,
a,Theme→sham,natural_elements,Boring,-1.60546875,,
a,Theme→sham,traffic_elements,Beautiful,-1.3684895833333333,,
a,Theme→sham,traffic_elements,Depressing,-1.1653645833333333,,
a,Theme→sham,traffic_elements,Lively,0.1002604166666666,,
a,Theme→sham,traffic_elements,Safe,-1.265625,,
a,Theme→sham,traffic_elements,Wealthy,-0.8776041666666666,,
a,Theme→sham,traffic_elements,Boring,-1.5885416666666667,,
a,Theme→sham,built_elements,Beautiful,-0.82421875,,
a,Theme→sham,built_elements,Depressing,-0.75390625,,
a,Theme→sham,built_elements,Lively,0.3424479166666667,,
a,Theme→sham,built_elements,Safe,-0.9166666666666666,,
a,Theme→sham,built_elements,Wealthy,-0.5247395833333334,,
a,Theme→sham,built_elements,Boring,-0.81640625,,
a,Random,natural_elements,Beautiful,5.260416666666667,,
a,Random,natural_elements,Depressing,-5.319010416666667,,
a,Random,natural_elements,Lively,2.98046875,,
a,Random,natural_elements,Safe,2.078125,,
a,Random,natural_elements,Wealthy,1.5598958333333333,,
a,Random,natural_elements,Boring,-5.015625,,
a,Random,traffic_elements,Beautiful,-1.8619791666666667,,
a,Random,traffic_elements,Depressing,-1.33203125,,
a,Random,traffic_elements,Lively,4.518229166666667,,
a,Random,traffic_elements,Safe,-2.3385416666666665,,
a,Random,traffic_elements,Wealthy,-0.0247395833333333,,
a,Random,traffic_elements,Boring,-3.434895833333333,,
a,Random,built_elements,Beautiful,0.5169270833333334,,
a,Random,built_elements,Depressing,-0.4908854166666667,,
a,Random,built_elements,Lively,-0.01953125,,
a,Random,built_elements,Safe,1.16015625,,
a,Random,built_elements,Wealthy,1.0690104166666667,,
a,Random,built_elements,Boring,-1.1588541666666667,,
b,All image states,,,3.711685078886608,3.083726296605097,4.312267859719728
b,High-change positions,,,1.472529983324782,1.2033665267712073,1.745287497194074
b,vs image-random,,,1.0944955746536686,0.8455342349709253,1.3589698443111853
b,vs low-change,,,1.3295720561826576,1.0676609666281853,1.596625239171797
b,vs text-random,,,-2.9742328917978154,-3.7404754220919467,-2.2367876612917876
