theory,setting_id,direction,paired_valid,effect
scaling,joint_setting_001,relation,True,0.0
scaling,joint_setting_001,focal,True,0.0
scaling,joint_setting_001,nonurban,True,0.0
scaling,joint_setting_001,random,True,0.0
scaling,joint_setting_002,relation,True,0.0
scaling,joint_setting_002,focal,True,0.0
scaling,joint_setting_002,nonurban,True,0.0
scaling,joint_setting_002,random,True,0.0
scaling,joint_setting_003,relation,True,0.0
scaling,joint_setting_003,focal,True,0.0
scaling,joint_setting_003,nonurban,True,0.0
scaling,joint_setting_003,random,True,0.0
scaling,joint_setting_004,relation,True,0.0
scaling,joint_setting_004,focal,True,0.0
scaling,joint_setting_004,nonurban,True,0.0
scaling,joint_setting_004,random,True,0.0
scaling,joint_setting_005,relation,True,0.0
scaling,joint_setting_005,focal,True,0.0
scaling,joint_setting_005,nonurban,True,0.0
scaling,joint_setting_005,random,True,0.0
scaling,joint_setting_006,relation,True,0.0
scaling,joint_setting_006,focal,True,0.0
scaling,joint_setting_006,nonurban,True,0.0
scaling,joint_setting_006,random,True,0.0
vitality,joint_setting_007,relation,True,0.0
vitality,joint_setting_007,focal,True,0.0
vitality,joint_setting_007,nonurban,True,0.0
vitality,joint_setting_007,random,True,0.0
vitality,joint_setting_008,relation,True,0.0
vitality,joint_setting_008,focal,True,0.0
vitality,joint_setting_008,nonurban,True,0.0
vitality,joint_setting_008,random,True,0.0
vitality,joint_setting_009,relation,True,0.0
vitality,joint_setting_009,focal,True,0.0
vitality,joint_setting_009,nonurban,True,0.0
vitality,joint_setting_009,random,True,0.0
vitality,joint_setting_010,relation,True,0.0
vitality,joint_setting_010,focal,True,0.0
vitality,joint_setting_010,nonurban,True,0.0
vitality,joint_setting_010,random,True,0.0
vitality,joint_setting_011,relation,True,0.0
vitality,joint_setting_011,focal,True,0.0
vitality,joint_setting_011,nonurban,True,0.0
vitality,joint_setting_011,random,True,0.0
vitality,joint_setting_012,relation,True,0.0
vitality,joint_setting_012,focal,True,0.0
vitality,joint_setting_012,nonurban,True,0.0
vitality,joint_setting_012,random,True,0.0
