profile_id,prompt_condition,transport_success,parser_valid,parse_error,fit_success,fit_error,alpha_hat,c_hat,D_hat_km,inverse_s_r2,inverse_s_aicc,best_parametric_alternative,best_alternative_aicc,inverse_s_aicc_advantage,inverse_s_aicc_winner,unique_value_ratio,nonincreasing_step_fraction,local_reversal_count,normalized_second_difference
decay_setting_001,Baseline prompt,1,1,,True,,1.259037027299844,0.0145988079417989,14.613664451906416,0.9948666206723382,-857.3065870055602,exp_floor,-925.6084249983152,-68.30183799275494,0.0,0.32,1.0,0.0,0.0032354405176704
decay_setting_001,Blueprint prompt,1,1,,True,,1.8702628546699636,0.0043549209996974,45.94220665456773,0.998848234123362,-922.9085420111152,exp_floor,-608.3149047736014,314.5936372375139,1.0,0.6,1.0,0.0,0.0045742434904996
decay_setting_002,Baseline prompt,1,1,,True,,2.0878808279000296,0.0150405582121125,34.808819145836466,0.9960032608431744,-803.4134188822729,exp_floor,-683.7996103312269,119.61380855104608,1.0,0.48,1.0,0.0,0.0037993920972644
decay_setting_002,Blueprint prompt,1,1,,True,,1.7568056767652236,0.0119508873159899,35.291037200140146,0.9986327983535068,-920.5453592843584,exp_floor,-672.3454693529918,248.19988993136667,1.0,0.51,1.0,0.0,0.004808820079756
decay_setting_003,Baseline prompt,1,1,,True,,1.3742701094648546,0.0154254137981355,23.041273759158965,0.9966806693324046,-866.5763020526106,exp_floor,-827.3289485953864,39.24735345722422,1.0,0.42,1.0,0.0,0.0038872691933916
decay_setting_003,Blueprint prompt,1,1,,True,,1.7964588881345038,0.0198244441044271,38.146841808054766,0.9975464839701272,-858.117175335409,exp_floor,-693.752254780492,164.36492055491703,1.0,0.54,1.0,0.0,0.0050447145150194
decay_setting_004,Baseline prompt,1,1,,True,,1.5254858750302562,0.0128682535427178,23.353655839716176,0.9965213752535096,-856.543192729302,exp_floor,-775.5788405240802,80.96435220522176,1.0,0.39,1.0,0.0,0.0051020408163265
decay_setting_004,Blueprint prompt,1,1,,True,,1.8231158188933343,0.0079896476292344,33.89545448726603,0.9963943024605468,-821.2799668340582,exp_floor,-699.6983204528537,121.58164638120444,1.0,0.5,1.0,0.0,0.0051020408163265
decay_setting_005,Baseline prompt,0,0,empty,,,,,,,,,,,,,,,
decay_setting_005,Blueprint prompt,1,1,,True,,1.6187839920198184,0.0115652956721835,30.531806427822588,0.9963117677072216,-831.5597073386268,exp_floor,-741.2704127001211,90.28929463850568,1.0,0.48,0.98989898989899,1.0,0.0044217687074829
decay_setting_006,Baseline prompt,1,1,,True,,1.7214242134636424,0.0083233803822534,31.43284706425762,0.9992663992166596,-989.4437222539832,exp_floor,-670.2502798108493,319.193442443134,1.0,0.47,1.0,0.0,0.0028476506881822
decay_setting_006,Blueprint prompt,1,1,,True,,1.882374170892292,0.0099232502774859,40.432844666811626,0.9974723634482852,-847.9406847734832,exp_floor,-654.9443702305393,192.99631454294388,1.0,0.56,1.0,0.0,0.0039682539682539
decay_setting_007,Baseline prompt,0,0,empty,,,,,,,,,,,,,,,
decay_setting_007,Blueprint prompt,1,1,,True,,2.04191803444904,0.0089124582895005,46.85357572937692,0.9976367136386732,-844.3318828522107,exp_floor,-614.2490232238366,230.08285962837408,1.0,0.6,1.0,0.0,0.0037003812514016
decay_setting_008,Baseline prompt,1,1,,True,,1.3073749660300429,0.0094108176318347,26.344382086921488,0.9971431466052584,-874.9120315940776,exp_floor,-772.6928921416351,102.2191394524425,1.0,0.47,1.0,0.0,0.0032798833819242
decay_setting_008,Blueprint prompt,1,1,,True,,1.902459085740319,0.0132109961120868,31.71066187523637,0.9973384389837576,-854.6913710219109,exp_floor,-695.5476765213762,159.1436945005347,1.0,0.46,1.0,0.0,0.0042610450773716
decay_setting_009,Baseline prompt,1,1,,True,,1.4295772176587516,0.0024446838490933,12.991914388271995,0.9970938306476884,-918.9312370730488,exp_floor,-853.2918413966124,65.6393956764365,1.0,0.27,1.0,0.0,0.0025210084033613
decay_setting_009,Blueprint prompt,1,1,,True,,2.062125286098338,0.0213138415475384,30.290684643126653,0.9975103884881856,-862.0508902964833,exp_floor,-675.7762264813801,186.2746638151032,1.0,0.44,0.9797979797979798,2.0,0.0048217089033415
decay_setting_010,Baseline prompt,1,1,,True,,1.7202772122377288,0.0016736078886298,22.192326807773608,0.998826065775634,-963.3474035185114,exp_floor,-693.9526014526197,269.3948020658918,1.0,0.35,1.0,0.0,0.0036014405762304
decay_setting_010,Blueprint prompt,1,1,,True,,1.7244637344303957,0.027057830266495,53.57963087712808,0.9943050669319142,-770.1062134178595,exp_floor,-686.76668200921,83.33953140864958,1.0,0.72,1.0,0.0,0.0051020408163265
decay_setting_011,Baseline prompt,1,1,,True,,1.6471594654242756,0.0037137132963627,21.32965505113068,0.9986967273738404,-957.9580063701874,exp_floor,-706.8578603847816,251.1001459854058,1.0,0.35,1.0,0.0,0.0031212484993997
decay_setting_011,Blueprint prompt,1,1,,True,,1.686990345415864,0.0386079356394299,34.14648866021178,0.9882498931535688,-711.2233228521633,exp_floor,-784.1024002339137,-72.87907738175045,0.0,0.53,1.0,0.0,0.005847282733318
decay_setting_012,Baseline prompt,1,1,,True,,0.8999466523959225,0.0081198854123952,13.968196017370484,0.9991113374717184,-1042.2099052544702,exp_floor,-821.7199197134491,220.48998554102104,1.0,0.34,1.0,0.0,0.0037367059499856
decay_setting_012,Blueprint prompt,1,0,wrong_length,,,,,,,,,,,,,,,
decay_setting_013,Baseline prompt,1,1,,True,,1.3452565085029156,0.0082205463495917,16.53097890515656,0.999487652770052,-1078.5378873024065,exp_floor,-728.0705450844232,350.4673422179833,1.0,0.31,1.0,0.0,0.001987808110257
decay_setting_013,Blueprint prompt,1,1,,True,,1.6764920358173132,0.0064613144621486,36.12614814698217,0.9970475050537244,-843.2362524886258,exp_floor,-682.8911430112618,160.34510947736408,1.0,0.53,1.0,0.0,0.0049860853432282
decay_setting_014,Baseline prompt,1,1,,True,,1.541490487769025,0.0040022790271449,18.72271773860445,0.9977133757539104,-912.4269714804128,exp_floor,-779.2797043547748,133.14726712563788,1.0,0.35,1.0,0.0,0.0022809123649459
decay_setting_014,Blueprint prompt,1,1,,True,,1.7315778431136477,0.0149262397071705,33.99118934423409,0.9958693520817692,-811.6684735413793,exp_floor,-714.1406584109862,97.52781513039304,1.0,0.51,0.98989898989899,1.0,0.0062615955473098
decay_setting_015,Baseline prompt,1,1,,True,,1.6743945216025975,0.0101371107808448,22.3670917802946,0.9996044195846024,-1074.8356530284584,exp_floor,-699.0961933566967,375.73945967176167,1.0,0.37,1.0,0.0,0.0035228377065111
decay_setting_015,Blueprint prompt,1,1,,True,,1.5257128153927804,7.847642272806828e-24,43.69918253339693,0.998110814994058,-887.5063575656213,exp_floor,-602.5810072081019,284.9253503575194,1.0,0.6,1.0,0.0,0.0054169816074578
decay_setting_016,Baseline prompt,1,1,,True,,1.1118724141041514,0.0089056524087022,17.033323598799466,0.9988985755323324,-1003.4174201138412,exp_floor,-786.4786515143445,216.9387685994966,1.0,0.37,1.0,0.0,0.0028957528957529
decay_setting_016,Blueprint prompt,1,1,,True,,1.389725695858706,0.0125662897387984,27.132531754546417,0.9924053145682286,-771.6379638559637,exp_floor,-849.6457070228104,-78.0077431668467,0.0,0.49,1.0,0.0,0.0047541743970315
decay_setting_017,Baseline prompt,1,1,,True,,1.380387252117626,0.0079671494817316,18.82151062702524,0.9988671326753495,-987.8508990878825,exp_floor,-743.0500688525273,244.8008302353552,1.0,0.34,1.0,0.0,0.0032753842277651
decay_setting_017,Blueprint prompt,1,1,,True,,1.478489328441638,0.0192003178398345,33.04123290076344,0.99279675348252,-765.6827736776371,exp_floor,-826.6217259840181,-60.938952306381,0.0,0.54,1.0,0.0,0.0039682539682539
decay_setting_018,Baseline prompt,1,1,,True,,1.8721553314794912,0.0085517221137598,21.935146077037864,0.9970630846489256,-868.9944083016138,exp_floor,-739.3794751231645,129.6149331784493,1.0,0.36,1.0,0.0,0.0034013605442176
decay_setting_018,Blueprint prompt,1,1,,True,,2.1885329982730526,0.0182240552556088,41.32794329727659,0.9980593889098418,-866.4179453659503,exp_floor,-626.2966462469491,240.1212991190013,1.0,0.54,1.0,0.0,0.0042147293700088
decay_setting_019,Baseline prompt,1,1,,True,,1.7144234362316886,0.0076393534161067,26.22470055514176,0.999610777796662,-1064.3755591451347,exp_floor,-669.6683583043684,394.7072008407663,1.0,0.4,1.0,0.0,0.0031584062196307
decay_setting_019,Blueprint prompt,1,1,,True,,1.818694785595737,0.011175926371767,41.67836492058765,0.9954676900501226,-789.9471278372657,exp_floor,-671.6579237039255,118.28920413334026,1.0,0.6,1.0,0.0,0.0042610450773716
decay_setting_020,Baseline prompt,1,1,,True,,1.5753299982980948,0.0108326202235332,20.20801826403474,0.9957972518361076,-845.8900568563189,exp_floor,-776.9843069789464,68.9057498773725,1.0,0.35,1.0,0.0,0.0020170859041291
decay_setting_020,Blueprint prompt,1,1,,True,,1.463287149135644,0.0156286393936631,29.32038040546503,0.9946296705459724,-801.5053635182204,exp_floor,-762.1929354302914,39.31242808792899,1.0,0.5,1.0,0.0,0.0050405704450454
decay_setting_021,Baseline prompt,1,1,,True,,1.3536820688148234,0.0132029460993355,16.256910821547883,0.9964640326753148,-884.9356980761374,exp_floor,-843.3875004991111,41.54819757702637,1.0,0.33,1.0,0.0,0.0043731778425656
decay_setting_021,Blueprint prompt,1,1,,True,,1.7340405475589142,0.0214027950299507,43.88330195850013,0.9939256939435244,-764.0330767184265,exp_floor,-693.6002211393015,70.43285557912498,1.0,0.63,1.0,0.0,0.0047541743970315
decay_setting_022,Baseline prompt,0,0,empty,,,,,,,,,,,,,,,
decay_setting_022,Blueprint prompt,1,1,,True,,1.141921657697963,0.0043614293598651,29.33903723899146,0.9869815033328851,-721.3539348669087,exp_floor,-731.1427177451179,-9.78878287820919,0.0,0.5,0.9696969696969696,3.0,0.0047946889599213
decay_setting_023,Baseline prompt,1,1,,True,,1.4329754752381996,0.0171961070676456,19.71673015127769,0.9957086733388838,-850.002270016671,exp_floor,-847.0205229227014,2.9817470939696022,1.0,0.38,1.0,0.0,0.0030369290573372
decay_setting_023,Blueprint prompt,1,1,,True,,1.377985098645487,7.933684348283463e-31,51.05329891975076,0.9971225044606682,-852.7799832448162,exp_floor,-615.1537337570998,237.62624948771645,1.0,0.69,1.0,0.0,0.0059208868732678
decay_setting_024,Baseline prompt,1,1,,True,,1.3927476190270187,0.0088877578855605,24.87031705120984,0.9979663644349454,-910.5818529875552,exp_floor,-725.0201933707109,185.56165961684417,1.0,0.43,1.0,0.0,0.004921968787515
