profile_id,prompt_condition,radius_km,density
decay_setting_001,Baseline prompt,0.5,0.83
decay_setting_001,Baseline prompt,1.5,0.79
decay_setting_001,Baseline prompt,2.5,0.72
decay_setting_001,Baseline prompt,3.5,0.66
decay_setting_001,Baseline prompt,4.5,0.61
decay_setting_001,Baseline prompt,5.5,0.57
decay_setting_001,Baseline prompt,6.5,0.52
decay_setting_001,Baseline prompt,7.5,0.48
decay_setting_001,Baseline prompt,8.5,0.44
decay_setting_001,Baseline prompt,9.5,0.4
decay_setting_001,Baseline prompt,10.5,0.36
decay_setting_001,Baseline prompt,11.5,0.32
decay_setting_001,Baseline prompt,12.5,0.28
decay_setting_001,Baseline prompt,13.5,0.25
decay_setting_001,Baseline prompt,14.5,0.23
decay_setting_001,Baseline prompt,15.5,0.21
decay_setting_001,Baseline prompt,16.5,0.19
decay_setting_001,Baseline prompt,17.5,0.17
decay_setting_001,Baseline prompt,18.5,0.15
decay_setting_001,Baseline prompt,19.5,0.13
decay_setting_001,Baseline prompt,20.5,0.12
decay_setting_001,Baseline prompt,21.5,0.11
decay_setting_001,Baseline prompt,22.5,0.1
decay_setting_001,Baseline prompt,23.5,0.09
decay_setting_001,Baseline prompt,24.5,0.08
decay_setting_001,Baseline prompt,25.5,0.08
decay_setting_001,Baseline prompt,26.5,0.07
decay_setting_001,Baseline prompt,27.5,0.07
decay_setting_001,Baseline prompt,28.5,0.06
decay_setting_001,Baseline prompt,29.5,0.06
decay_setting_001,Baseline prompt,30.5,0.05
decay_setting_001,Baseline prompt,31.5,0.05
decay_setting_001,Baseline prompt,32.5,0.04
decay_setting_001,Baseline prompt,33.5,0.04
decay_setting_001,Baseline prompt,34.5,0.04
decay_setting_001,Baseline prompt,35.5,0.03
decay_setting_001,Baseline prompt,36.5,0.03
decay_setting_001,Baseline prompt,37.5,0.03
decay_setting_001,Baseline prompt,38.5,0.02
decay_setting_001,Baseline prompt,39.5,0.02
decay_setting_001,Baseline prompt,40.5,0.02
decay_setting_001,Baseline prompt,41.5,0.02
decay_setting_001,Baseline prompt,42.5,0.02
decay_setting_001,Baseline prompt,43.5,0.01
decay_setting_001,Baseline prompt,44.5,0.01
decay_setting_001,Baseline prompt,45.5,0.01
decay_setting_001,Baseline prompt,46.5,0.01
decay_setting_001,Baseline prompt,47.5,0.01
decay_setting_001,Baseline prompt,48.5,0.01
decay_setting_001,Baseline prompt,49.5,0.01
decay_setting_001,Baseline prompt,50.5,0.01
decay_setting_001,Baseline prompt,51.5,0.01
decay_setting_001,Baseline prompt,52.5,0.01
decay_setting_001,Baseline prompt,53.5,0.01
decay_setting_001,Baseline prompt,54.5,0.01
decay_setting_001,Baseline prompt,55.5,0.01
decay_setting_001,Baseline prompt,56.5,0.01
decay_setting_001,Baseline prompt,57.5,0.01
decay_setting_001,Baseline prompt,58.5,0.01
decay_setting_001,Baseline prompt,59.5,0.01
decay_setting_001,Baseline prompt,60.5,0.01
