setting_id,intervention_grid,annulus_start_km,annulus_end_km,annulus_midpoint_km,request_status,land_density_ratio
decay_setting_071,Five 1-km annuli,0.0,1.0,0.5,empty,
decay_setting_088,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_007,Five 1-km annuli,0.0,1.0,0.5,empty,
decay_setting_021,Five 1-km annuli,0.0,1.0,0.5,empty,
decay_setting_069,Five 1-km annuli,15.0,16.0,15.5,valid,0.35
decay_setting_007,Five 1-km annuli,15.0,16.0,15.5,empty,
decay_setting_035,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_040,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_010,Five 1-km annuli,15.0,16.0,15.5,valid,0.62
decay_setting_078,Five 1-km annuli,15.0,16.0,15.5,valid,0.37
decay_setting_091,Five 1-km annuli,30.0,31.0,30.5,valid,0.42
decay_setting_015,Five 1-km annuli,60.0,61.0,60.5,valid,0.12
decay_setting_042,Five 1-km annuli,0.0,1.0,0.5,valid,0.65
decay_setting_039,Five 1-km annuli,15.0,16.0,15.5,valid,0.43
decay_setting_061,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_076,Five 1-km annuli,5.0,6.0,5.5,valid,0.54
decay_setting_096,Five 1-km annuli,30.0,31.0,30.5,valid,0.25
decay_setting_049,Five 1-km annuli,60.0,61.0,60.5,valid,0.02
decay_setting_082,Five 1-km annuli,15.0,16.0,15.5,valid,0.42
decay_setting_098,Five 1-km annuli,30.0,31.0,30.5,valid,0.27
decay_setting_099,Five 1-km annuli,5.0,6.0,5.5,valid,0.48
decay_setting_079,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_084,Five 1-km annuli,5.0,6.0,5.5,valid,0.35
decay_setting_054,Five 1-km annuli,15.0,16.0,15.5,valid,0.34
decay_setting_018,Five 1-km annuli,0.0,1.0,0.5,valid,0.75
decay_setting_059,Five 1-km annuli,5.0,6.0,5.5,valid,0.76
decay_setting_068,Five 1-km annuli,15.0,16.0,15.5,valid,0.63
decay_setting_093,Five 1-km annuli,0.0,1.0,0.5,valid,0.85
decay_setting_068,Five 1-km annuli,30.0,31.0,30.5,valid,0.54
decay_setting_063,Five 1-km annuli,60.0,61.0,60.5,valid,0.18
decay_setting_008,Five 1-km annuli,0.0,1.0,0.5,valid,0.74
decay_setting_001,Five 1-km annuli,5.0,6.0,5.5,valid,0.67
