scene_id,condition,identity_preserved,identity_confidence,manipulation_pass,manipulation_confidence,actual_target_elements_added,unintended_changes
scene_001,natural_elements,True,1.0,True,0.95,"[""grass"", ""bushes""]",[]
scene_001,traffic_elements,True,1.0,True,1.0,"[""cars"", ""truck"", ""bridge""]",[]
scene_001,built_elements,True,1.0,True,1.0,"[""brick fences"", ""pillars""]",[]
scene_001,sham,True,0.95,True,0.9,[],[]
scene_002,natural_elements,True,1.0,True,1.0,"[""trees"", ""grass"", ""bushes"", ""vines""]",[]
scene_002,traffic_elements,True,1.0,True,1.0,"[""cars"", ""truck"", ""bridge"", ""road activity""]",[]
scene_002,built_elements,True,1.0,True,1.0,"[""fences"", ""pillars"", ""walls""]",[]
scene_002,sham,True,1.0,True,1.0,[],[]
scene_003,natural_elements,True,1.0,True,1.0,"[""trees"", ""bushes"", ""grass""]",[]
scene_003,traffic_elements,True,1.0,True,1.0,"[""cars"", ""trucks"", ""bridge""]",[]
scene_003,built_elements,True,1.0,True,1.0,"[""fences"", ""walls""]",[]
scene_003,sham,True,1.0,True,1.0,[],[]
scene_004,natural_elements,True,0.95,True,0.95,"[""trees"", ""bushes"", ""grass"", ""sky""]",[]
scene_004,traffic_elements,True,0.95,True,0.95,"[""cars"", ""truck"", ""bridge""]",[]
scene_004,built_elements,True,1.0,True,1.0,"[""fences"", ""walls""]",[]
scene_004,sham,True,1.0,True,1.0,[],[]
scene_005,natural_elements,True,1.0,True,1.0,"[""trees"", ""grass"", ""bushes"", ""sky""]",[]
scene_005,traffic_elements,True,0.95,True,0.95,"[""cars"", ""trucks"", ""bridge""]",[]
scene_005,built_elements,True,0.95,True,0.9,"[""added fences"", ""stone wall details""]",[]
scene_005,sham,True,1.0,True,1.0,[],[]
scene_006,natural_elements,True,0.9,True,1.0,"[""trees"", ""bushes"", ""grass"", ""vines""]",[]
scene_006,traffic_elements,True,0.95,True,0.95,"[""cars"", ""truck"", ""bridge""]",[]
scene_006,built_elements,True,1.0,True,1.0,"[""brick pillars"", ""metal fencing"", ""plants"", ""decorative sphere caps"", ""flower bed""]",[]
scene_006,sham,True,1.0,True,1.0,[],[]
scene_007,natural_elements,True,1.0,True,1.0,"[""trees"", ""bushes""]",[]
scene_007,traffic_elements,True,0.95,True,0.95,"[""cars"", ""trucks"", ""bridge""]",[]
scene_007,built_elements,True,1.0,True,0.95,"[""New buildings on the left-side adjacent to existing structures"", ""Increased elements of fencing and gates on the right-side""]",[]
scene_007,sham,True,1.0,True,1.0,[],[]
scene_008,natural_elements,True,1.0,True,1.0,"[""trees"", ""grass"", ""bushes"", ""sky""]",[]
scene_008,traffic_elements,True,1.0,True,1.0,"[""cars"", ""truck"", ""bridge""]",[]
scene_008,built_elements,True,1.0,True,1.0,"[""fences"", ""streetlamps""]","[""appearance of the yellow facade slightly cleaned up"", ""additional decorative elements such as balconies added to some buildings""]"
scene_008,sham,True,0.99,True,0.99,[],[]
scene_009,natural_elements,True,1.0,True,1.0,"[""trees"", ""grass"", ""bushes"", ""sky""]",[]
scene_009,traffic_elements,True,1.0,True,1.0,"[""cars"", ""trucks"", ""bridge""]",[]
scene_009,built_elements,True,1.0,True,1.0,"[""fences""]",[]
scene_009,sham,True,1.0,True,1.0,[],[]
scene_010,natural_elements,True,1.0,True,1.0,"[""trees"", ""bushes"", ""grass"", ""sky""]",[]
scene_010,traffic_elements,True,1.0,True,1.0,"[""cars"", ""trucks"", ""buses"", ""elevated road/bridge""]",[]
scene_010,built_elements,True,1.0,True,1.0,"[""fences"", ""walls""]",[]
scene_010,sham,True,1.0,True,1.0,[],[]
scene_011,natural_elements,True,1.0,True,1.0,"[""trees"", ""grass"", ""bushes"", ""sky""]",[]
scene_011,traffic_elements,True,1.0,True,1.0,"[""cars"", ""truck"", ""bridge""]",[]
scene_011,built_elements,True,1.0,True,1.0,"[""fences""]",[]
scene_011,sham,True,1.0,True,1.0,[],[]
scene_012,natural_elements,True,1.0,True,1.0,"[""trees"", ""grass"", ""bushes"", ""sky""]",[]
scene_012,traffic_elements,True,1.0,True,1.0,"[""bridge"", ""truck"", ""additional cars""]",[]
scene_012,built_elements,True,1.0,True,1.0,"[""fences"", ""walls""]",[]
scene_012,sham,True,1.0,True,1.0,[],[]
