scene_id,theme,dimension,baseline_score,theme_score,sham_score,theme_change,sham_change,estimand,theme_qc_pass,sham_qc_pass,qc_pass
scene_001,natural_elements,Beautiful,4.5,4.5,4.2,0.0,-0.2999999999999998,0.2999999999999998,True,True,True
scene_001,natural_elements,Depressing,4.0,3.0,4.5,-1.0,0.5,-1.5,True,True,True
scene_001,natural_elements,Lively,3.0,5.0,3.5,2.0,0.5,1.5,True,True,True
scene_001,natural_elements,Safe,5.5,6.5,6.5,1.0,1.0,0.0,True,True,True
scene_001,natural_elements,Wealthy,3.0,3.0,3.0,0.0,0.0,0.0,True,True,True
scene_001,natural_elements,Boring,6.5,4.5,5.8,-2.0,-0.7000000000000002,-1.2999999999999998,True,True,True
scene_001,traffic_elements,Beautiful,4.5,4.5,4.2,0.0,-0.2999999999999998,0.2999999999999998,True,True,True
scene_001,traffic_elements,Depressing,4.0,5.5,4.5,1.5,0.5,1.0,True,True,True
scene_001,traffic_elements,Lively,3.0,4.0,3.5,1.0,0.5,0.5,True,True,True
scene_001,traffic_elements,Safe,5.5,5.0,6.5,-0.5,1.0,-1.5,True,True,True
scene_001,traffic_elements,Wealthy,3.0,3.0,3.0,0.0,0.0,0.0,True,True,True
scene_001,traffic_elements,Boring,6.5,6.0,5.8,-0.5,-0.7000000000000002,0.2000000000000001,True,True,True
scene_001,built_elements,Beautiful,4.5,5.5,4.2,1.0,-0.2999999999999998,1.2999999999999998,True,True,True
scene_001,built_elements,Depressing,4.0,4.0,4.5,0.0,0.5,-0.5,True,True,True
scene_001,built_elements,Lively,3.0,3.5,3.5,0.5,0.5,0.0,True,True,True
scene_001,built_elements,Safe,5.5,6.5,6.5,1.0,1.0,0.0,True,True,True
scene_001,built_elements,Wealthy,3.0,4.0,3.0,1.0,0.0,1.0,True,True,True
scene_001,built_elements,Boring,6.5,6.0,5.8,-0.5,-0.7000000000000002,0.2000000000000001,True,True,True
scene_002,natural_elements,Beautiful,4.0,7.5,4.0,3.5,0.0,3.5,True,True,True
scene_002,natural_elements,Depressing,6.0,2.0,6.5,-4.0,0.5,-4.5,True,True,True
scene_002,natural_elements,Lively,3.0,4.0,3.0,1.0,0.0,1.0,True,True,True
scene_002,natural_elements,Safe,5.0,6.5,5.0,1.5,0.0,1.5,True,True,True
scene_002,natural_elements,Wealthy,3.5,4.0,3.0,0.5,-0.5,1.0,True,True,True
scene_002,natural_elements,Boring,5.5,5.0,5.5,-0.5,0.0,-0.5,True,True,True
scene_002,traffic_elements,Beautiful,4.0,3.5,4.0,-0.5,0.0,-0.5,True,True,True
scene_002,traffic_elements,Depressing,6.0,6.5,6.5,0.5,0.5,0.0,True,True,True
scene_002,traffic_elements,Lively,3.0,4.0,3.0,1.0,0.0,1.0,True,True,True
scene_002,traffic_elements,Safe,5.0,5.5,5.0,0.5,0.0,0.5,True,True,True
scene_002,traffic_elements,Wealthy,3.5,3.0,3.0,-0.5,-0.5,0.0,True,True,True
scene_002,traffic_elements,Boring,5.5,6.0,5.5,0.5,0.0,0.5,True,True,True
scene_002,built_elements,Beautiful,4.0,5.5,4.0,1.5,0.0,1.5,True,True,True
scene_002,built_elements,Depressing,6.0,4.5,6.5,-1.5,0.5,-2.0,True,True,True
scene_002,built_elements,Lively,3.0,3.5,3.0,0.5,0.0,0.5,True,True,True
scene_002,built_elements,Safe,5.0,6.0,5.0,1.0,0.0,1.0,True,True,True
scene_002,built_elements,Wealthy,3.5,4.0,3.0,0.5,-0.5,1.0,True,True,True
scene_002,built_elements,Boring,5.5,5.0,5.5,-0.5,0.0,-0.5,True,True,True
scene_003,natural_elements,Beautiful,5.5,7.5,5.5,2.0,0.0,2.0,True,True,True
scene_003,natural_elements,Depressing,3.0,2.0,4.0,-1.0,1.0,-2.0,True,True,True
scene_003,natural_elements,Lively,4.0,5.0,3.0,1.0,-1.0,2.0,True,True,True
