scene_id,condition,Beautiful,Depressing,Lively,Safe,Wealthy,Boring
scene_006,built_elements,7.0,2.0,4.0,8.0,7.5,5.0
scene_002,baseline,4.0,6.0,3.0,5.0,3.5,5.5
scene_001,sham,4.2,4.5,3.5,6.5,3.0,5.8
scene_001,built_elements,5.5,4.0,3.5,6.5,4.0,6.0
scene_008,baseline,4.5,5.5,3.0,6.0,4.0,6.5
scene_005,natural_elements,6.5,3.0,4.5,5.5,4.0,4.0
scene_004,sham,3.5,6.5,2.0,5.0,3.0,6.0
scene_012,sham,3.5,5.0,3.0,5.5,2.5,6.5
scene_009,natural_elements,6.5,3.0,4.0,7.5,6.0,5.5
scene_003,baseline,5.5,3.0,4.0,6.5,6.0,5.0
scene_007,sham,5.0,4.0,3.0,6.0,3.0,5.5
scene_010,baseline,4.0,3.5,4.0,6.5,5.5,5.0
scene_008,sham,4.5,6.5,3.0,6.0,4.0,7.0
scene_007,natural_elements,6.5,2.0,3.0,7.5,4.0,4.5
scene_001,natural_elements,4.5,3.0,5.0,6.5,3.0,4.5
scene_011,sham,4.5,6.5,2.0,6.0,3.0,7.5
scene_012,built_elements,3.5,5.5,3.0,6.0,4.0,6.5
scene_011,baseline,4.5,6.0,2.0,5.5,3.5,7.5
scene_008,traffic_elements,4.5,5.8,4.2,6.0,4.7,6.3
scene_009,baseline,4.5,5.5,2.0,6.5,6.0,7.0
scene_011,natural_elements,7.5,2.0,3.0,7.0,6.5,5.0
scene_010,traffic_elements,3.5,4.0,5.5,5.0,4.0,4.5
scene_002,traffic_elements,3.5,6.5,4.0,5.5,3.0,6.0
scene_008,built_elements,6.5,3.0,2.5,7.5,6.0,7.0
scene_010,built_elements,4.5,3.0,4.0,6.5,5.0,5.5
scene_012,traffic_elements,3.0,5.5,4.5,6.0,3.0,5.0
scene_012,baseline,3.0,6.5,3.0,5.5,3.0,6.0
scene_004,natural_elements,7.5,2.0,3.5,6.5,4.0,5.0
scene_005,built_elements,4.0,3.5,4.5,4.0,3.0,4.5
scene_006,baseline,6.5,2.0,3.5,8.0,7.0,4.5
scene_002,sham,4.0,6.5,3.0,5.0,3.0,5.5
scene_012,natural_elements,5.5,3.0,4.0,6.5,4.5,5.0
scene_007,traffic_elements,4.5,5.0,3.0,5.0,4.0,6.5
scene_001,baseline,4.5,4.0,3.0,5.5,3.0,6.5
scene_006,natural_elements,8.5,1.0,6.5,8.0,8.0,4.0
scene_002,natural_elements,7.5,2.0,4.0,6.5,4.0,5.0
scene_001,traffic_elements,4.5,5.5,4.0,5.0,3.0,6.0
scene_010,natural_elements,6.5,2.0,4.0,7.5,6.0,5.0
scene_003,built_elements,6.5,3.0,4.0,6.5,7.5,5.5
scene_005,traffic_elements,2.5,4.5,6.0,4.0,3.0,5.0
scene_009,traffic_elements,3.5,6.0,5.0,6.5,5.0,7.0
scene_008,natural_elements,7.5,2.0,4.0,7.0,5.0,6.0
scene_005,baseline,3.5,4.0,5.0,4.5,2.5,5.0
scene_006,sham,6.5,2.0,3.5,7.5,6.0,4.5
scene_002,built_elements,5.5,4.5,3.5,6.0,4.0,5.0
scene_007,built_elements,5.5,4.0,3.0,6.0,4.0,6.5
scene_004,traffic_elements,2.5,6.5,3.0,5.0,3.0,6.0
scene_003,sham,5.5,4.0,3.0,6.5,6.0,5.0
scene_010,sham,5.5,3.5,4.0,6.0,5.0,6.5
scene_003,natural_elements,7.5,2.0,5.0,8.0,7.0,4.0
scene_004,baseline,3.5,6.5,2.0,5.0,3.0,7.0
scene_004,built_elements,4.5,6.5,2.0,5.0,3.5,6.0
scene_003,traffic_elements,5.0,3.5,6.5,6.0,6.0,4.0
scene_011,traffic_elements,3.0,5.5,3.0,5.0,3.5,6.5
scene_009,sham,3.5,6.8,2.2,5.4,4.3,7.0
scene_005,sham,5.0,4.5,4.0,5.5,3.0,5.0
scene_007,baseline,4.5,5.0,3.0,5.5,3.0,6.5
scene_009,built_elements,3.5,5.0,2.0,6.5,5.0,7.5
scene_006,traffic_elements,6.0,3.0,5.0,7.0,6.5,4.5
scene_011,built_elements,4.5,3.5,2.0,6.5,4.0,7.5
