generation_id,prompt_condition,transport_success,valid_n,rejected_n,complete_100,fit_status,population_unique_ratio,population_log_range,road_unique_ratio,road_log_range,gdp_unique_ratio,gdp_log_range
distribution_baseline_001,Baseline prompt,1,100,0,1,ok,0.99,0.8648516335739638,0.97,0.9732214952751042,1.0,0.8270376950094378
distribution_blueprint_001,Blueprint prompt,1,100,0,1,ok,1.0,2.6575773191777934,1.0,1.7356928113607588,0.79,2.788168371141168
distribution_baseline_002,Baseline prompt,1,100,0,1,ok,0.88,1.7043650362227245,0.65,1.1597008428675122,0.81,1.5956258813225528
distribution_blueprint_002,Blueprint prompt,1,100,0,1,ok,1.0,2.6478174818886373,1.0,2.1760912590556813,1.0,2.5360170406955937
distribution_baseline_003,Baseline prompt,1,100,0,1,ok,0.76,0.8054253352503062,0.62,0.7185655603993992,0.64,0.7974564055790303
distribution_blueprint_003,Blueprint prompt,1,91,0,0,ok,1.0,2.6020599913279625,0.5824175824175825,1.8016323462331665,0.978021978021978,3.096910013008056
distribution_baseline_004,Baseline prompt,1,100,0,1,ok,0.99,0.8867319132645557,0.93,0.8020276265752839,0.98,1.0354354222694138
distribution_blueprint_004,Blueprint prompt,1,90,0,0,ok,0.9222222222222224,2.5376020021010444,0.7666666666666667,1.9542425094393248,0.8222222222222222,2.619788758288394
distribution_baseline_005,Baseline prompt,1,100,0,1,ok,0.66,0.512659580098652,0.46,0.5496719218682742,0.99,0.5640431547529374
distribution_blueprint_005,Blueprint prompt,1,100,0,1,ok,1.0,2.4881166390211256,0.99,1.5740312677277188,1.0,1.8664610916297824
distribution_baseline_006,Baseline prompt,1,100,0,1,ok,0.65,0.9268586308771588,0.47,0.6020599913279621,0.97,0.7785988180835854
distribution_blueprint_006,Blueprint prompt,1,100,0,1,ok,1.0,2.6478174818886373,1.0,1.989004615698537,1.0,1.8181564120552276
distribution_baseline_007,Baseline prompt,1,100,0,1,ok,0.58,0.5843312243675305,0.4,0.5619427681199798,0.76,0.6746106584765741
distribution_blueprint_007,Blueprint prompt,1,100,0,1,ok,1.0,2.721246399047171,1.0,1.6575773191777938,1.0,2.017728766960432
distribution_baseline_008,Baseline prompt,1,100,0,1,ok,0.82,0.9183759535911776,0.82,0.465071959031059,0.56,0.6901960800285138
distribution_blueprint_008,Blueprint prompt,1,100,0,1,ok,0.79,3.6108339156354674,0.74,2.3010299956639813,0.77,2.795880017344075
distribution_baseline_009,Baseline prompt,1,100,0,1,ok,0.69,0.4074853265782678,0.57,0.5440680443502757,1.0,0.4709397810506885
distribution_blueprint_009,Blueprint prompt,1,100,0,1,ok,1.0,2.7328282715969863,1.0,2.5910646070264995,1.0,2.903089986991944
distribution_baseline_010,Baseline prompt,1,100,0,1,ok,0.62,0.6054397319793425,0.49,0.639201799332529,0.46,0.5642714304385628
distribution_blueprint_010,Blueprint prompt,1,100,0,1,ok,1.0,2.6020599913279625,1.0,2.513333427374107,1.0,2.4685210829577446
distribution_baseline_011,Baseline prompt,1,100,0,1,ok,0.96,0.7708212117072417,0.64,0.6139592146276702,0.98,0.9307853489135648
distribution_blueprint_011,Blueprint prompt,1,100,0,1,ok,1.0,2.7447274948966944,1.0,2.397940008672037,1.0,2.665546248849069
distribution_baseline_012,Baseline prompt,1,100,0,1,ok,1.0,0.7835932676561201,0.99,0.6936736645260702,1.0,0.8236203818283689
distribution_blueprint_012,Blueprint prompt,1,99,1,0,ok,0.8282828282828283,2.809668301829708,0.7272727272727273,1.7431736668280724,0.9494949494949496,2.4436974992327127
distribution_baseline_013,Baseline prompt,1,100,0,1,ok,0.93,0.690089604176948,0.91,0.4973021052252497,0.99,1.0292586416892355
distribution_blueprint_013,Blueprint prompt,1,100,0,1,ok,1.0,2.638272163982407,1.0,1.888026240556068,1.0,2.406713932979543
distribution_baseline_014,Baseline prompt,1,100,0,1,ok,0.99,0.9515781177579132,0.58,0.6020599913279621,0.99,0.939146100769186
distribution_blueprint_014,Blueprint prompt,1,100,0,1,ok,0.89,2.6020599913279625,0.97,1.8249931222365383,0.83,2.6989700043360187
distribution_baseline_015,Baseline prompt,1,100,0,1,ok,0.77,0.9652378937407882,0.87,0.801954165056268,0.96,1.23117821538996
distribution_blueprint_015,Blueprint prompt,1,100,0,1,ok,0.99,2.6020599913279625,0.99,1.8785778371145376,0.47,2.3891660843645326
distribution_baseline_016,Baseline prompt,1,100,0,1,ok,0.6,1.0413926851582254,0.84,0.3979400086720375,0.73,1.0
distribution_blueprint_016,Blueprint prompt,1,96,0,0,ok,1.0,2.6020599913279625,1.0,1.903089986991944,0.7083333333333334,2.397940008672037
distribution_baseline_017,Baseline prompt,1,95,2,0,ok,0.8631578947368421,0.7678512937438313,0.6210526315789474,0.5440680443502757,0.7578947368421053,0.6139592146276698
distribution_blueprint_017,Blueprint prompt,1,95,0,0,ok,0.8947368421052632,2.7569619513137056,0.7894736842105263,1.812913356642856,0.7368421052631579,2.397940008672037
distribution_baseline_018,Baseline prompt,1,100,0,1,ok,0.78,1.3477733992063072,0.34,0.7533276666586115,0.79,1.4534573365218684
distribution_blueprint_018,Blueprint prompt,1,100,0,1,ok,1.0,2.6989700043360187,1.0,2.1983676537668337,1.0,2.707743928643524
distribution_baseline_019,Baseline prompt,1,95,0,0,ok,1.0,0.9603464323132584,0.8421052631578947,0.915534806446201,0.9157894736842104,0.8628873316046946
distribution_blueprint_019,Blueprint prompt,1,92,0,0,ok,0.8369565217391305,2.3010299956639813,0.7282608695652174,1.5228787452803378,0.5652173913043478,1.4436974992327127
distribution_baseline_020,Baseline prompt,1,100,0,1,ok,0.65,0.6960650136926114,0.57,0.7481880270062002,0.93,0.8796088911424214
distribution_blueprint_020,Blueprint prompt,1,97,0,0,ok,0.7938144329896907,2.6020599913279625,0.7319587628865979,1.8777841217271731,0.8144329896907216,1.8927900303521317
distribution_baseline_021,Baseline prompt,1,104,0,0,ok,0.9423076923076924,0.8787811532168295,0.9807692307692308,0.6976288983339116,0.9230769230769232,0.9588874144850884
distribution_blueprint_021,Blueprint prompt,1,98,0,0,ok,0.9897959183673468,2.560667306169737,0.7448979591836735,2.1249387366083,0.9387755102040816,2.552841968657781
distribution_baseline_022,Baseline prompt,1,100,0,1,ok,0.45,0.3290587192642249,0.44,0.4771212547196621,0.69,0.4191293077419757
distribution_blueprint_022,Blueprint prompt,1,100,0,1,ok,1.0,2.638272163982407,0.98,2.019006910146305,0.83,3.089551882886454
distribution_baseline_023,Baseline prompt,1,100,0,1,ok,0.89,0.8419318450775908,0.69,0.7781512503836439,0.7,0.907997321486688
