generation_id,prompt_condition,row_number,fictional_city,population,total_road_length,gdp
distribution_baseline_001,Baseline prompt,1,CityName1,537854.0,1234.0,13572.0
distribution_baseline_001,Baseline prompt,2,CityName2,284329.0,754.0,8497.0
distribution_baseline_001,Baseline prompt,3,CityName3,452748.0,987.0,11542.0
distribution_baseline_001,Baseline prompt,4,CityName4,675842.0,1567.0,18936.0
distribution_baseline_001,Baseline prompt,5,CityName5,123478.0,312.0,4391.0
distribution_baseline_001,Baseline prompt,6,CityName6,892345.0,2128.0,24756.0
distribution_baseline_001,Baseline prompt,7,CityName7,723459.0,1759.0,20184.0
distribution_baseline_001,Baseline prompt,8,CityName8,374829.0,934.0,10257.0
distribution_baseline_001,Baseline prompt,9,CityName9,248957.0,621.0,6823.0
distribution_baseline_001,Baseline prompt,10,CityName10,539847.0,1245.0,13789.0
distribution_baseline_001,Baseline prompt,11,CityName11,128376.0,308.0,4472.0
distribution_baseline_001,Baseline prompt,12,CityName12,785947.0,1987.0,21921.0
distribution_baseline_001,Baseline prompt,13,CityName13,398546.0,976.0,10843.0
distribution_baseline_001,Baseline prompt,14,CityName14,849231.0,2137.0,25218.0
distribution_baseline_001,Baseline prompt,15,CityName15,134587.0,332.0,4973.0
distribution_baseline_001,Baseline prompt,16,CityName16,692348.0,1678.0,18932.0
distribution_baseline_001,Baseline prompt,17,CityName17,453297.0,1029.0,12129.0
distribution_baseline_001,Baseline prompt,18,CityName18,227839.0,572.0,6459.0
distribution_baseline_001,Baseline prompt,19,CityName19,344857.0,789.0,9682.0
distribution_baseline_001,Baseline prompt,20,CityName20,529874.0,1283.0,13842.0
distribution_baseline_001,Baseline prompt,21,CityName21,294876.0,693.0,7984.0
distribution_baseline_001,Baseline prompt,22,CityName22,832497.0,2015.0,23789.0
distribution_baseline_001,Baseline prompt,23,CityName23,145973.0,358.0,5289.0
distribution_baseline_001,Baseline prompt,24,CityName24,612598.0,1537.0,17452.0
distribution_baseline_001,Baseline prompt,25,CityName25,487563.0,1094.0,12748.0
distribution_baseline_001,Baseline prompt,26,CityName26,322849.0,859.0,9165.0
distribution_baseline_001,Baseline prompt,27,CityName27,904568.0,2783.0,29485.0
distribution_baseline_001,Baseline prompt,28,CityName28,138476.0,347.0,5191.0
