setting_id,prompt_condition,population_people,irrelevant_number,request_status,gdp_million_currency_units,road_length_km
scaling_setting_001,Primary wording,400000,,valid,16000.0,2250.0
scaling_setting_001,Primary wording,800000,,valid,32000.0,2100.0
scaling_setting_001,Primary wording,100000,,valid,4200.0,560.0
scaling_setting_001,Primary wording,50000,,valid,1250.0,360.0
scaling_setting_001,Primary wording,200000,,valid,8350.0,1200.0
scaling_setting_001,Paraphrased wording,400000,,valid,18400.0,1250.0
scaling_setting_001,Paraphrased wording,100000,,valid,4500.0,850.0
scaling_setting_001,Paraphrased wording,50000,,valid,1200.0,320.0
scaling_setting_001,Paraphrased wording,800000,,valid,32000.0,1450.0
scaling_setting_001,Paraphrased wording,200000,,valid,7200.0,480.0
scaling_setting_001,Concise wording,50000,,valid,1250.0,310.0
scaling_setting_001,Concise wording,400000,,valid,18500.0,1200.0
scaling_setting_001,Concise wording,800000,,valid,32000.0,2800.0
scaling_setting_001,Concise wording,200000,,valid,5200.0,850.0
scaling_setting_001,Concise wording,100000,,valid,2100.0,750.0
scaling_setting_001,No-change control,200000,,valid,5200.0,1400.0
scaling_setting_001,Irrelevant-number control,200000,800000.0,valid,7600.0,1750.0
scaling_setting_001,Irrelevant-number control,200000,100000.0,valid,8500.0,1400.0
scaling_setting_001,Irrelevant-number control,200000,400000.0,valid,9800.0,1250.0
scaling_setting_001,Irrelevant-number control,200000,50000.0,valid,8600.0,1820.0
scaling_setting_001,Irrelevant-number control,200000,200000.0,valid,5200.0,890.0
scaling_setting_002,Primary wording,200000,,valid,4200.0,950.0
scaling_setting_002,Primary wording,50000,,valid,850.0,320.0
scaling_setting_002,Primary wording,800000,,valid,32000.0,1600.0
scaling_setting_002,Primary wording,400000,,valid,8400.0,1350.0
scaling_setting_002,Primary wording,100000,,valid,1250.0,450.0
scaling_setting_002,Paraphrased wording,200000,,valid,3200.0,580.0
scaling_setting_002,Paraphrased wording,50000,,valid,750.0,320.0
scaling_setting_002,Paraphrased wording,100000,,valid,1200.0,435.0
scaling_setting_002,Paraphrased wording,800000,,valid,20450.0,1150.0
scaling_setting_002,Paraphrased wording,400000,,valid,6800.0,825.0
scaling_setting_002,Concise wording,200000,,valid,5400.0,600.0
scaling_setting_002,Concise wording,50000,,valid,750.0,320.0
scaling_setting_002,Concise wording,400000,,valid,6200.0,890.0
scaling_setting_002,Concise wording,100000,,valid,1850.0,340.0
scaling_setting_002,Concise wording,800000,,valid,12800.0,1750.0
scaling_setting_002,No-change control,200000,,valid,4800.0,450.0
scaling_setting_002,Irrelevant-number control,200000,800000.0,valid,7500.0,420.0
scaling_setting_002,Irrelevant-number control,200000,50000.0,valid,7400.0,850.0
scaling_setting_002,Irrelevant-number control,200000,400000.0,valid,8400.0,320.0
scaling_setting_002,Irrelevant-number control,200000,200000.0,valid,5600.0,680.0
scaling_setting_002,Irrelevant-number control,200000,100000.0,valid,7400.0,850.0
scaling_setting_003,Primary wording,50000,,valid,1250.0,275.0
scaling_setting_003,Primary wording,800000,,valid,34000.0,2100.0
scaling_setting_003,Primary wording,400000,,valid,12500.0,950.0
scaling_setting_003,Primary wording,200000,,valid,4800.0,850.0
scaling_setting_003,Primary wording,100000,,valid,2500.0,450.0
scaling_setting_003,Paraphrased wording,400000,,valid,7200.0,950.0
scaling_setting_003,Paraphrased wording,50000,,valid,750.0,240.0
scaling_setting_003,Paraphrased wording,200000,,valid,4800.0,510.0
scaling_setting_003,Paraphrased wording,800000,,valid,16000.0,1900.0
scaling_setting_003,Paraphrased wording,100000,,valid,2500.0,450.0
scaling_setting_003,Concise wording,50000,,valid,950.0,120.0
scaling_setting_003,Concise wording,400000,,valid,16000.0,1250.0
scaling_setting_003,Concise wording,200000,,valid,5400.0,780.0
scaling_setting_003,Concise wording,800000,,valid,24000.0,1050.0
scaling_setting_003,Concise wording,100000,,valid,3500.0,450.0
scaling_setting_003,No-change control,200000,,valid,4800.0,470.0
scaling_setting_003,Irrelevant-number control,200000,800000.0,valid,12500.0,320.0
scaling_setting_003,Irrelevant-number control,200000,200000.0,valid,7800.0,450.0
scaling_setting_003,Irrelevant-number control,200000,50000.0,valid,8200.0,450.0
scaling_setting_003,Irrelevant-number control,200000,400000.0,valid,9500.0,610.0
scaling_setting_003,Irrelevant-number control,200000,100000.0,valid,7200.0,520.0
scaling_setting_004,Primary wording,100000,,valid,3200.0,560.0
scaling_setting_004,Primary wording,400000,,valid,12500.0,1200.0
scaling_setting_004,Primary wording,800000,,valid,18400.0,2350.0
scaling_setting_004,Primary wording,50000,,valid,1800.0,320.0
scaling_setting_004,Primary wording,200000,,valid,4800.0,320.0
scaling_setting_004,Paraphrased wording,800000,,valid,15600.0,950.0
scaling_setting_004,Paraphrased wording,400000,,valid,16500.0,1250.0
scaling_setting_004,Paraphrased wording,50000,,valid,750.0,320.0
scaling_setting_004,Paraphrased wording,100000,,valid,3500.0,280.0
scaling_setting_004,Paraphrased wording,200000,,valid,4800.0,720.0
scaling_setting_004,Concise wording,400000,,valid,12000.0,750.0
scaling_setting_004,Concise wording,100000,,valid,2650.0,340.0
scaling_setting_004,Concise wording,800000,,valid,32000.0,1400.0
scaling_setting_004,Concise wording,50000,,valid,850.0,220.0
scaling_setting_004,Concise wording,200000,,valid,4800.0,525.0
scaling_setting_004,No-change control,200000,,valid,6250.0,450.0
scaling_setting_004,Irrelevant-number control,200000,100000.0,valid,4800.0,650.0
scaling_setting_004,Irrelevant-number control,200000,800000.0,valid,8200.0,540.0
scaling_setting_004,Irrelevant-number control,200000,50000.0,valid,11500.0,870.0
scaling_setting_004,Irrelevant-number control,200000,200000.0,valid,9200.0,850.0
