prompt_variant_id,setting_id,outcome,relation,population_direction,surface,answer_order,clean_margin,target_slope,target_plus1_effect,population_slope,registry_slope,random_1_slope,random_2_slope,random_3_slope,random_4_slope,random_5_slope
scaling_variant_0001,scaling_mechanism_setting_001,gdp,direct,up,surface_c,forward,-5.79687487334013,0.1062500894069671,0.1250000521540641,-0.1640623547136783,0.531250111758709,-0.0546876303851604,-0.0312499366700649,0.2812501639127731,0.2421875894069671,-0.0937500149011612
scaling_variant_0002,scaling_mechanism_setting_001,gdp,direct,up,surface_c,reverse,-5.562500135973096,0.0375000627711415,0.0312499515712261,-0.179687581025064,0.3593749697320163,-0.039062543772161,-0.1093751899898052,0.1328124636784196,0.2031249450519681,-0.1406249161809682
scaling_variant_0003,scaling_mechanism_setting_001,gdp,direct,up,surface_d,forward,-4.625000135973096,-0.2437499659135937,-0.3124997392296791,-0.0703124590218067,0.5703124278225005,-0.0546875596046447,-0.0312500819563865,0.1874998770654201,0.1718750242143869,-0.0703123975545167
scaling_variant_0004,scaling_mechanism_setting_001,gdp,direct,up,surface_d,reverse,-4.796875081956387,-0.2687499174848199,-0.3437497811391949,-0.0937499664723873,0.4531248728744685,-0.0624998835846781,-0.0781251285225153,0.1093750060535967,0.1640625218860805,-0.1484373253770172
scaling_variant_0005,scaling_mechanism_setting_001,gdp,direct,down,surface_c,forward,-1.5781249701976776,0.4406250476837158,0.6874999701976776,0.0390624776482582,0.4062499776482582,-0.0468749850988388,0.0312500596046447,7.450580596923828e-09,-0.1015625149011612,0.140624962747097
scaling_variant_0006,scaling_mechanism_setting_001,gdp,direct,down,surface_c,reverse,-0.53125,0.5031250178813934,0.6875,0.1093749701976776,0.4296874701976776,-0.0234374701976776,-0.0781250149011612,-0.0234374701976776,-0.15625,0.1328125
scaling_variant_0007,scaling_mechanism_setting_001,gdp,direct,down,surface_d,forward,0.6718750298023224,0.5906250178813933,0.7812499850988388,0.0468750149011611,-0.0078125149011611,-0.0078125298023223,-0.0234374850988388,-0.0781250149011612,-0.0781249850988388,0.046875
scaling_variant_0008,scaling_mechanism_setting_001,gdp,direct,down,surface_d,reverse,1.4687499850988388,0.5906249940395355,0.7031250521540642,0.0859375447034835,0.03125,7.450580596923828e-09,-0.046874962747097,-0.0625000223517417,-0.0781250149011612,0.0781249925494194
scaling_variant_0009,scaling_mechanism_setting_001,gdp,inverse,up,surface_c,forward,-1.9843750894069672,-0.8031250104308129,-0.4062499403953552,-0.0781249776482582,-0.9531249832361935,-0.0546874888241291,-0.0624999888241291,-0.0078124478459358,0.1249999813735485,-0.0546874217689037
scaling_variant_0010,scaling_mechanism_setting_001,gdp,inverse,up,surface_c,reverse,2.4375000596046448,-0.7031250074505806,-0.6093750894069672,-0.4140625149011612,-0.5625000596046448,-0.1640625521540641,0.1171873919665813,0.2031250707805156,0.3203125,-0.1718750037252903
scaling_variant_0011,scaling_mechanism_setting_001,gdp,inverse,up,surface_d,forward,-1.8906250596046448,-0.0812499552965164,0.0312501788139343,0.015624925494194,-0.3906250596046448,-3.725290298461914e-08,-0.0468750372529029,0.0468750447034835,0.0390624701976776,-0.171875
scaling_variant_0012,scaling_mechanism_setting_001,gdp,inverse,up,surface_d,reverse,-0.7031250298023224,-0.237499988079071,-0.1093749403953552,-0.0156250447034835,-0.2890625298023224,-0.03125,0.0624999850988388,0.078125,0.09375,-0.15625
scaling_variant_0013,scaling_mechanism_setting_001,gdp,inverse,down,surface_c,forward,-5.312499854713678,0.6156250724568963,0.5781250391155481,0.1249998533166945,-0.2812500610016286,0.0624999264255166,0.0468750626314431,-0.1562497937120497,-0.2187500693835318,0.0156249636784195
scaling_variant_0014,scaling_mechanism_setting_001,gdp,inverse,down,surface_c,reverse,-5.656249909196049,0.5218749463558198,0.4999999976716935,0.1718750688014552,-0.312500043422915,0.0234374583233147,0.0546874190913513,-0.1015624634455889,-0.2265625182772055,0.0703124762512743
scaling_variant_0015,scaling_mechanism_setting_001,gdp,inverse,down,surface_d,forward,-3.2500000409781933,0.6843749299645424,0.6406249366700649,0.109375063329935,-0.2578124888241291,0.0234374962747097,2.9802322387695312e-08,-0.1015625279396772,-0.1953124366700649,0.023437600582838
scaling_variant_0016,scaling_mechanism_setting_001,gdp,inverse,down,surface_d,reverse,-3.328124988824129,0.5593750096857547,0.5156250111758709,0.1093749906867742,-0.1562500409781932,0.0078125540167093,-5.0291419029235846e-08,-0.0546874795109033,-0.1484375074505806,0.0625001024454832
scaling_variant_0017,scaling_mechanism_setting_001,road,direct,up,surface_c,forward,-3.140624910593033,0.4125000223517418,0.406249962747097,-0.1250000149011612,0.468750037252903,-0.0468749329447746,-0.0468749850988388,0.2656250707805156,0.1406249962747097,-0.0468750968575477
scaling_variant_0018,scaling_mechanism_setting_001,road,direct,up,surface_c,reverse,-4.375000108033419,0.0843750722706318,0.0625002309679985,-0.1406249655410647,0.3203124171122908,-0.0390625149011611,-0.0937501275911927,0.132812462747097,0.1640625121071934,-0.1171874292194843
scaling_variant_0019,scaling_mechanism_setting_001,road,direct,up,surface_d,forward,-0.296875,0.2749999761581421,0.21875,0.0078125,0.1875,0.0078125,-0.0546875,0.0703125,0.046875,-0.109375
scaling_variant_0020,scaling_mechanism_setting_001,road,direct,up,surface_d,reverse,-1.1874999701976776,0.1093749821186065,0.0156249701976776,-0.0078125149011611,0.1250000298023224,-0.0078124701976776,-0.0312499552965164,0.0703125149011612,0.0390625298023223,-0.1406249701976776
scaling_variant_0021,scaling_mechanism_setting_001,road,direct,down,surface_c,forward,-0.3125,0.5500000238418579,0.71875,0.1015625,0.1171875,0.0078125,0.0234375,-0.0078125,-0.09375,0.078125
scaling_variant_0022,scaling_mechanism_setting_001,road,direct,down,surface_c,reverse,0.5,0.7656249821186066,0.9531249552965164,0.1640625,0.1406250298023224,-0.015625,0.0,-0.0312500149011611,-0.1484374850988388,0.0859374701976776
scaling_variant_0023,scaling_mechanism_setting_001,road,direct,down,surface_d,forward,-0.046875,0.574999988079071,0.7656249701976776,0.0703125,0.078125,0.0,0.0234375,-0.0546875,-0.0625,0.0703125
scaling_variant_0024,scaling_mechanism_setting_001,road,direct,down,surface_d,reverse,0.6562500298023224,0.6749999880790711,0.8281249403953552,0.1093749701976776,0.1171875,-0.0078124850988388,-0.0390625,-0.0625000447034835,-0.0703124850988388,0.0859374701976776
scaling_variant_0025,scaling_mechanism_setting_001,road,inverse,up,surface_c,forward,-0.9687499403953552,-0.7687499880790714,-0.3906250149011612,-0.0937500149011612,-0.5625000298023224,-0.0624999850988388,-0.0703124850988388,-0.0078124850988388,0.0859375,-0.0859375298023223
scaling_variant_0026,scaling_mechanism_setting_001,road,inverse,up,surface_c,reverse,2.250000089406967,-0.6750000134110449,-0.578125074505806,-0.3750000298023224,-0.3281250149011612,-0.1015625521540641,0.0312500149011611,0.1796875,0.2265624292194843,-0.1640625149011612
scaling_variant_0027,scaling_mechanism_setting_001,road,inverse,up,surface_d,forward,-2.671874977648258,-0.1499999761581421,-0.0156249776482582,0.0078125409781932,-0.5000000353902578,0.015625026077032,-0.1015625484287738,0.0156250111758708,0.046875063329935,-0.1875000149011612
scaling_variant_0028,scaling_mechanism_setting_001,road,inverse,up,surface_d,reverse,-1.4999999850988388,-0.3031250417232514,-0.1406250745058059,-0.0312499925494194,-0.4140624925494194,0.015625,0.0234374776482582,0.0703124850988388,0.0781250298023223,-0.1874999925494194
scaling_variant_0029,scaling_mechanism_setting_001,road,inverse,down,surface_c,forward,-5.093749789521098,0.6499999764375389,0.6093746237456799,0.1562499292194843,-0.3437497895210981,0.0937499504070729,0.046875104540959,-0.1484375998843461,-0.2187499951105564,0.0390624897554516
scaling_variant_0030,scaling_mechanism_setting_001,road,inverse,down,surface_c,reverse,-5.640625225147232,0.528125023469329,0.5312502917367965,0.1953124740393832,-0.3515624715946615,0.0234374374849721,0.0546875002328306,-0.09374989150092,-0.2343749763676896,0.0703125449363142
scaling_variant_0031,scaling_mechanism_setting_001,road,inverse,down,surface_d,forward,-1.906249925494194,0.893749986588955,0.7812498956918716,0.1406249776482582,-0.0937500298023223,0.0390625149011611,4.4703483581542975e-08,-0.0859374776482582,-0.1640625447034835,0.0156249478459358
scaling_variant_0032,scaling_mechanism_setting_001,road,inverse,down,surface_d,reverse,-2.3750001192092896,0.7687500432133675,0.6875001043081284,0.1562499962747097,-0.0546874664723873,7.450580596923828e-09,4.4703483581542975e-08,-0.0546875186264514,-0.1484375037252903,0.0703125484287738
scaling_variant_0033,scaling_mechanism_setting_002,gdp,direct,up,surface_c,forward,-5.890624918043613,0.0968749552965164,0.1406247615814209,-0.1640624180436134,0.6093748062849045,-0.0546874552965164,-0.0234375894069671,0.3125000335276127,0.234375175088644,-0.1171874515712261
scaling_variant_0034,scaling_mechanism_setting_002,gdp,direct,up,surface_c,reverse,-5.734374847263098,0.0687498494982719,0.0468747876584529,-0.1640624525025487,0.3828124906867742,-0.0390624850988388,-0.0937501601874828,0.1249999850988388,0.2031249003484845,-0.1406248547136783
scaling_variant_0035,scaling_mechanism_setting_002,gdp,direct,up,surface_d,forward,-4.593749899417162,-0.2218750566244125,-0.3125001937150955,-0.0625000353902578,0.5703125125728548,-0.0625000586733222,-0.0234374729916453,0.1953125121071934,0.1640625018626451,-0.062500013038516
scaling_variant_0036,scaling_mechanism_setting_002,gdp,direct,up,surface_d,reverse,-4.82812477555126,-0.2531250169500709,-0.3125001643784344,-0.0937499571591615,0.4453124899882823,-0.0781250740401446,-0.0859373770654201,0.1171874464489519,0.1562499217689037,-0.1562499003484845
scaling_variant_0037,scaling_mechanism_setting_002,gdp,direct,down,surface_c,forward,-1.4687499701976776,0.3687499821186065,0.6093749403953552,0.0468750447034835,0.3828125298023224,-0.0546875298023223,0.0312500596046447,-0.0312499403953552,-0.1015625298023223,0.1406250447034835
scaling_variant_0038,scaling_mechanism_setting_002,gdp,direct,down,surface_c,reverse,-0.515625,0.4499999999999999,0.640625,0.1250000298023224,0.40625,-0.03125,-0.0781250298023223,-0.0390624701976776,-0.1562499701976776,0.140625
scaling_variant_0039,scaling_mechanism_setting_002,gdp,direct,down,surface_d,forward,0.203125,0.5593749642372131,0.7968749403953552,0.03125,0.046875,0.0,-0.0234375,-0.0625,-0.046875,0.0703125
