generation_id,prompt_condition,row_number,fictional_metropolitan_area,population_people,public_road_lane_miles,gross_metropolitan_product_billion_2006_usd
source_matched_baseline_067,Baseline prompt,1,Greenvale,1023456.0,32567.0,56.4
source_matched_baseline_067,Baseline prompt,2,Rivermoor,1452345.0,52438.0,89.7
source_matched_baseline_067,Baseline prompt,3,Silverwood,834567.0,21545.0,34.1
source_matched_baseline_067,Baseline prompt,4,Brookhaven,1923456.0,67834.0,112.6
source_matched_baseline_067,Baseline prompt,5,Lakehurst,678923.0,18905.0,23.5
source_matched_baseline_067,Baseline prompt,6,Pinecreek,112345.0,4389.0,5.6
source_matched_baseline_067,Baseline prompt,7,Crystalbend,1423456.0,54356.0,84.3
source_matched_baseline_067,Baseline prompt,8,Willowmere,732467.0,26789.0,31.8
source_matched_baseline_067,Baseline prompt,9,Autumnridge,982345.0,30754.0,43.6
source_matched_baseline_067,Baseline prompt,10,Foxhaven,1234567.0,44567.0,68.9
source_matched_baseline_067,Baseline prompt,11,Sunhaven,2345678.0,78934.0,134.2
source_matched_baseline_067,Baseline prompt,12,Maplebridge,567891.0,18902.0,18.6
source_matched_baseline_067,Baseline prompt,13,Stonevale,812345.0,23567.0,36.2
source_matched_baseline_067,Baseline prompt,14,Crescentfield,1423567.0,46572.0,78.3
source_matched_baseline_067,Baseline prompt,15,Ironridge,534789.0,17865.0,26.5
source_matched_baseline_067,Baseline prompt,16,Hollowwinds,218934.0,5893.0,6.8
source_matched_baseline_067,Baseline prompt,17,Kingswood,1923456.0,65348.0,127.5
source_matched_baseline_067,Baseline prompt,18,Shadowlake,432789.0,14567.0,15.8
source_matched_baseline_067,Baseline prompt,19,Brightwall,1654321.0,50679.0,95.4
source_matched_baseline_067,Baseline prompt,20,Goldenhollow,312345.0,8902.0,11.7
source_matched_baseline_067,Baseline prompt,21,Harborfield,2034567.0,80972.0,154.3
source_matched_baseline_067,Baseline prompt,22,Bluehollow,894567.0,27489.0,42.1
source_matched_baseline_067,Baseline prompt,23,Foresthaven,754321.0,23476.0,33.8
source_matched_baseline_067,Baseline prompt,24,Eaglewood,278945.0,12356.0,12.4
source_matched_baseline_067,Baseline prompt,25,Meadowridge,1567890.0,49672.0,84.7
source_matched_baseline_067,Baseline prompt,26,Snowhaven,439876.0,16573.0,17.2
source_matched_baseline_067,Baseline prompt,27,Stormspire,1123456.0,34278.0,53.4
source_matched_baseline_067,Baseline prompt,28,Oceanglade,1345678.0,49872.0,75.3
source_matched_baseline_067,Baseline prompt,29,Thunderbend,678234.0,24897.0,39.6
source_matched_baseline_067,Baseline prompt,30,Copperfield,1456789.0,54987.0,89.5
source_matched_baseline_067,Baseline prompt,31,Crystalpool,982345.0,30754.0,47.1
source_matched_baseline_067,Baseline prompt,32,Dewhollow,734521.0,18923.0,32.0
source_matched_baseline_067,Baseline prompt,33,Shadowbrook,243567.0,7543.0,9.5
source_matched_baseline_067,Baseline prompt,34,Silvergrove,1923456.0,67845.0,107.4
source_matched_baseline_067,Baseline prompt,35,Windyridge,536789.0,16789.0,22.3
source_matched_baseline_067,Baseline prompt,36,Darkhollow,894567.0,24567.0,44.5
source_matched_baseline_067,Baseline prompt,37,Goldenvale,1234678.0,45678.0,69.7
source_matched_baseline_067,Baseline prompt,38,Brightbay,1345678.0,51234.0,79.8
source_matched_baseline_067,Baseline prompt,39,Emeraldlake,728945.0,23489.0,28.3
source_matched_baseline_067,Baseline prompt,40,Palmview,1934567.0,70456.0,138.9
source_matched_baseline_067,Baseline prompt,41,Autumnreach,174563.0,9321.0,6.9
source_matched_baseline_067,Baseline prompt,42,Riverridge,256789.0,11234.0,12.6
source_matched_baseline_067,Baseline prompt,43,Silverpeak,1456789.0,54321.0,95.1
source_matched_baseline_067,Baseline prompt,44,Frostwood,2345678.0,78912.0,141.5
source_matched_baseline_067,Baseline prompt,45,Oakmoor,924876.0,26734.0,41.3
source_matched_baseline_067,Baseline prompt,46,Cedarhollow,356789.0,10934.0,15.3
source_matched_baseline_067,Baseline prompt,47,Birchfield,1634567.0,47283.0,87.0
source_matched_baseline_067,Baseline prompt,48,Willowbranch,1982345.0,59217.0,122.7
source_matched_baseline_067,Baseline prompt,49,Sunpeaks,314567.0,8329.0,10.5
source_matched_baseline_067,Baseline prompt,50,Autumnvale,1023456.0,27856.0,59.4
source_matched_baseline_067,Baseline prompt,51,Seabreeze,723567.0,35672.0,33.2
source_matched_baseline_067,Baseline prompt,52,Falconcreek,1456789.0,54792.0,83.4
source_matched_baseline_067,Baseline prompt,53,Rivershore,634789.0,19245.0,30.7
source_matched_baseline_067,Baseline prompt,54,Goldenridge,1845234.0,64539.0,107.9
source_matched_baseline_067,Baseline prompt,55,Blueridge,219456.0,10345.0,12.1
source_matched_baseline_067,Baseline prompt,56,Frosthaven,1293456.0,37865.0,66.0
source_matched_baseline_067,Baseline prompt,57,Thunderbay,934567.0,29845.0,49.8
source_matched_baseline_067,Baseline prompt,58,Shadowgrove,347812.0,12873.0,17.4
source_matched_baseline_067,Baseline prompt,59,Meadowhollow,1674321.0,50672.0,92.8
source_matched_baseline_067,Baseline prompt,60,Crystalridge,742567.0,19876.0,42.6
source_matched_baseline_067,Baseline prompt,61,Autumnlake,1298765.0,54327.0,72.4
source_matched_baseline_067,Baseline prompt,62,Stormfield,1345678.0,47892.0,77.4
source_matched_baseline_067,Baseline prompt,63,Copperhaven,834562.0,26745.0,41.7
source_matched_baseline_067,Baseline prompt,64,Windhollow,923456.0,34213.0,53.6
source_matched_baseline_067,Baseline prompt,65,Brightwood,1098765.0,37845.0,68.4
source_matched_baseline_067,Baseline prompt,66,Palmhollow,745678.0,21376.0,36.5
source_matched_baseline_067,Baseline prompt,67,Ravenglade,478956.0,16543.0,25.7
source_matched_baseline_067,Baseline prompt,68,Snowridge,1623456.0,49345.0,89.8
source_matched_baseline_067,Baseline prompt,69,Frostgrove,893256.0,35241.0,55.2
source_matched_baseline_067,Baseline prompt,70,Darkridge,934523.0,24568.0,37.4
source_matched_baseline_067,Baseline prompt,71,Dewhaven,2834567.0,78965.0,152.3
source_matched_baseline_067,Baseline prompt,72,Kingslake,1398765.0,46781.0,79.7
source_matched_baseline_067,Baseline prompt,73,Ravenvalley,653489.0,22654.0,38.5
source_matched_baseline_067,Baseline prompt,74,Blueshore,1934567.0,60123.0,123.9
source_matched_baseline_067,Baseline prompt,75,Oakfield,875432.0,29870.0,44.0
source_matched_baseline_067,Baseline prompt,76,Seaview,1657890.0,51234.0,94.7
source_matched_baseline_067,Baseline prompt,77,Autumnbrook,243567.0,12890.0,13.6
source_matched_baseline_067,Baseline prompt,78,Ironlake,3456789.0,83254.0,198.4
source_matched_baseline_067,Baseline prompt,79,Silvervalley,1123456.0,45623.0,71.6
source_matched_baseline_067,Baseline prompt,80,Shadowfield,889421.0,27678.0,49.4
source_matched_baseline_067,Baseline prompt,81,Thunderwood,1324567.0,49321.0,85.1
source_matched_baseline_067,Baseline prompt,82,Hollowridge,1534789.0,58795.0,102.3
source_matched_baseline_067,Baseline prompt,83,Lakefield,789323.0,32783.0,45.6
source_matched_baseline_067,Baseline prompt,84,Sunhaven,1789234.0,63489.0,116.9
source_matched_baseline_067,Baseline prompt,85,Frostfield,693245.0,19867.0,32.1
source_matched_baseline_067,Baseline prompt,86,Emeraldhollow,902345.0,32981.0,54.0
source_matched_baseline_067,Baseline prompt,87,Crystalhaven,1267834.0,46892.0,77.1
source_matched_baseline_067,Baseline prompt,88,Goldenwood,1498765.0,50345.0,89.2
