generation_id,prompt_condition,transport_success,valid_rows,invalid_rows,exact_100_valid_rows,fit_valid,fit_reason,adjusted_r2,cv_r2,condition_number,beta_residential_density,beta_functional_mix,beta_short_blocks,beta_aged_buildings,beta_tall_buildings,unique_ratio_residential_density,unique_ratio_functional_mix,unique_ratio_mean_block_area_m2,unique_ratio_aged_buildings,unique_ratio_tall_buildings,unique_ratio_pedestrian_activity
vitality_baseline_001,Baseline prompt,1,100,0,1,1,,0.9815154292122176,0.980254056408931,24.34540527706333,0.613560440944403,0.2812237057768879,0.175998141960745,-0.101323673338294,-0.1827185250488704,0.47,0.61,0.68,0.07,0.5,0.55
vitality_blueprint_001,Blueprint prompt,1,100,0,1,1,,0.9890135897537116,0.9885015031860442,24.72527276249969,0.6337468303277336,0.2712340413743339,-0.0388944118100127,-0.2474489903063225,-0.1308695210803055,0.48,0.28,0.45,0.69,0.38,0.81
vitality_baseline_002,Baseline prompt,1,100,0,1,1,,0.947656306253205,0.944146320591501,16.35946776668586,0.4358525300024225,0.0366661779240955,0.5174260729937058,-0.3131497251388738,-0.2934585945318302,0.23,0.14,0.28,0.14,0.21,0.63
vitality_blueprint_002,Blueprint prompt,1,100,0,1,1,,0.9885447835935752,0.9864302701767774,21.827013776359117,0.7820294874514776,-0.1066172479120274,0.2028930355155095,0.0544540216920601,0.0669150941655205,0.36,0.26,0.86,0.26,0.23,0.66
vitality_baseline_003,Baseline prompt,1,100,0,1,1,,0.980864190403288,0.9761806250532647,15.422314944574415,0.5542558101804713,0.1920556469655976,0.3992614337001871,0.0211645601969892,-0.1315981142653259,0.39,0.37,0.58,0.42,0.32,0.69
vitality_blueprint_003,Blueprint prompt,1,100,0,1,1,,0.985313276706952,0.9828923525785472,15.817792421349324,0.3716925651347535,0.2396051659668139,-0.0909822827588131,-0.2273846226148931,0.2608096564024583,0.26,0.24,0.42,0.24,0.2,0.31
vitality_baseline_004,Baseline prompt,1,100,0,1,1,,0.9799765731365824,0.9771369185434992,17.436567329436812,0.3473002412379139,0.2592121160436117,0.4678009660487429,0.023734210911081,-0.0542616599997536,0.35,0.15,0.32,0.14,0.18,0.29
vitality_blueprint_004,Blueprint prompt,1,100,0,1,1,,0.9798600489510864,0.9737578274807812,15.44442845121412,0.7514744841242509,-0.0999702979931816,0.1593002091865107,-0.2998952137490986,-0.1174131963283205,0.49,0.23,0.69,0.59,0.3,0.7
vitality_baseline_005,Baseline prompt,1,100,0,1,1,,0.990933275138504,0.988808628082064,21.950395302293188,0.7826883000833633,-0.0655254329242037,0.0747386944019383,-0.1642948533517162,0.0439991917255778,0.39,0.28,0.43,0.18,0.26,0.4
vitality_blueprint_005,Blueprint prompt,1,100,0,1,1,,0.9897409171688488,0.987952472657588,17.831645619798472,0.5302173808203886,0.174477483103958,0.3144496599916266,-0.04056068793654,-0.054217410288155,0.39,0.26,0.51,0.5,0.41,0.58
