setting_id,spatial_group,prompt_condition,higher_dose,lower_dose,parser_valid_pair,correct_fixed
vitality_setting_001,spatial_group_001,Primary wording,high,mid,1,1
vitality_setting_001,spatial_group_001,Primary wording,high,low,1,1
vitality_setting_001,spatial_group_001,Primary wording,mid,low,1,1
vitality_setting_001,spatial_group_001,Paraphrase control,high,mid,1,1
vitality_setting_001,spatial_group_001,Paraphrase control,high,low,1,1
vitality_setting_001,spatial_group_001,Paraphrase control,mid,low,1,1
vitality_setting_001,spatial_group_001,Alias/order control,high,mid,1,1
vitality_setting_001,spatial_group_001,Alias/order control,high,low,1,1
vitality_setting_001,spatial_group_001,Alias/order control,mid,low,1,1
vitality_setting_001,spatial_group_001,Exact-repeat control,high,mid,1,1
vitality_setting_001,spatial_group_001,Exact-repeat control,high,low,1,1
vitality_setting_001,spatial_group_001,Exact-repeat control,mid,low,1,1
vitality_setting_001,spatial_group_001,Irrelevant-number control,high,mid,1,1
vitality_setting_001,spatial_group_001,Irrelevant-number control,high,low,1,1
vitality_setting_001,spatial_group_001,Irrelevant-number control,mid,low,1,1
vitality_setting_002,spatial_group_001,Primary wording,high,mid,1,1
vitality_setting_002,spatial_group_001,Primary wording,high,low,1,1
vitality_setting_002,spatial_group_001,Primary wording,mid,low,1,1
vitality_setting_003,spatial_group_001,Primary wording,high,mid,1,1
vitality_setting_003,spatial_group_001,Primary wording,high,low,1,1
vitality_setting_003,spatial_group_001,Primary wording,mid,low,1,1
vitality_setting_003,spatial_group_001,Paraphrase control,high,mid,1,1
vitality_setting_003,spatial_group_001,Paraphrase control,high,low,1,1
vitality_setting_003,spatial_group_001,Paraphrase control,mid,low,1,1
vitality_setting_003,spatial_group_001,Alias/order control,high,mid,1,1
vitality_setting_003,spatial_group_001,Alias/order control,high,low,1,1
vitality_setting_003,spatial_group_001,Alias/order control,mid,low,1,1
vitality_setting_003,spatial_group_001,Exact-repeat control,high,mid,1,1
vitality_setting_003,spatial_group_001,Exact-repeat control,high,low,1,1
vitality_setting_003,spatial_group_001,Exact-repeat control,mid,low,1,1
vitality_setting_003,spatial_group_001,Irrelevant-number control,high,mid,1,1
vitality_setting_003,spatial_group_001,Irrelevant-number control,high,low,1,1
vitality_setting_003,spatial_group_001,Irrelevant-number control,mid,low,1,1
vitality_setting_004,spatial_group_002,Primary wording,high,mid,1,1
vitality_setting_004,spatial_group_002,Primary wording,high,low,1,1
vitality_setting_004,spatial_group_002,Primary wording,mid,low,1,1
vitality_setting_005,spatial_group_002,Primary wording,high,mid,1,1
vitality_setting_005,spatial_group_002,Primary wording,high,low,1,1
vitality_setting_005,spatial_group_002,Primary wording,mid,low,1,1
vitality_setting_005,spatial_group_002,Paraphrase control,high,mid,1,1
vitality_setting_005,spatial_group_002,Paraphrase control,high,low,1,1
vitality_setting_005,spatial_group_002,Paraphrase control,mid,low,1,1
vitality_setting_005,spatial_group_002,Alias/order control,high,mid,1,1
vitality_setting_005,spatial_group_002,Alias/order control,high,low,1,1
vitality_setting_005,spatial_group_002,Alias/order control,mid,low,1,1
vitality_setting_005,spatial_group_002,Exact-repeat control,high,mid,1,1
vitality_setting_005,spatial_group_002,Exact-repeat control,high,low,1,1
vitality_setting_005,spatial_group_002,Exact-repeat control,mid,low,1,1
vitality_setting_005,spatial_group_002,Irrelevant-number control,high,mid,1,1
vitality_setting_005,spatial_group_002,Irrelevant-number control,high,low,1,1
vitality_setting_005,spatial_group_002,Irrelevant-number control,mid,low,1,1
vitality_setting_006,spatial_group_002,Primary wording,high,mid,1,1
