setting_id,spatial_group,prompt_condition,request_status,ordered_doses,full_high_mid_low_fixed
vitality_setting_001,spatial_group_001,Primary wording,valid,high>mid>low,1
vitality_setting_001,spatial_group_001,Paraphrase control,valid,high>mid>low,1
vitality_setting_001,spatial_group_001,Alias/order control,valid,high>mid>low,1
vitality_setting_001,spatial_group_001,Exact-repeat control,valid,high>mid>low,1
vitality_setting_001,spatial_group_001,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_002,spatial_group_001,Primary wording,valid,high>mid>low,1
vitality_setting_003,spatial_group_001,Primary wording,valid,high>mid>low,1
vitality_setting_003,spatial_group_001,Paraphrase control,valid,high>mid>low,1
vitality_setting_003,spatial_group_001,Alias/order control,valid,high>mid>low,1
vitality_setting_003,spatial_group_001,Exact-repeat control,valid,high>mid>low,1
vitality_setting_003,spatial_group_001,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_004,spatial_group_002,Primary wording,valid,high>mid>low,1
vitality_setting_005,spatial_group_002,Primary wording,valid,high>mid>low,1
vitality_setting_005,spatial_group_002,Paraphrase control,valid,high>mid>low,1
vitality_setting_005,spatial_group_002,Alias/order control,valid,high>mid>low,1
vitality_setting_005,spatial_group_002,Exact-repeat control,valid,high>mid>low,1
vitality_setting_005,spatial_group_002,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_006,spatial_group_002,Primary wording,valid,high>mid>low,1
vitality_setting_007,spatial_group_003,Primary wording,valid,high>mid>low,1
vitality_setting_007,spatial_group_003,Paraphrase control,valid,high>mid>low,1
vitality_setting_007,spatial_group_003,Alias/order control,valid,high>mid>low,1
vitality_setting_007,spatial_group_003,Exact-repeat control,valid,high>mid>low,1
vitality_setting_007,spatial_group_003,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_008,spatial_group_003,Primary wording,valid,high>mid>low,1
vitality_setting_009,spatial_group_003,Primary wording,valid,high>mid>low,1
vitality_setting_009,spatial_group_003,Paraphrase control,valid,high>mid>low,1
vitality_setting_009,spatial_group_003,Alias/order control,valid,high>mid>low,1
vitality_setting_009,spatial_group_003,Exact-repeat control,valid,high>mid>low,1
vitality_setting_009,spatial_group_003,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_010,spatial_group_003,Primary wording,valid,high>mid>low,1
vitality_setting_011,spatial_group_003,Primary wording,valid,high>mid>low,1
vitality_setting_011,spatial_group_003,Paraphrase control,valid,high>mid>low,1
vitality_setting_011,spatial_group_003,Alias/order control,valid,high>mid>low,1
vitality_setting_011,spatial_group_003,Exact-repeat control,valid,high>mid>low,1
vitality_setting_011,spatial_group_003,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_012,spatial_group_004,Primary wording,valid,high>mid>low,1
vitality_setting_013,spatial_group_004,Primary wording,valid,high>mid>low,1
vitality_setting_013,spatial_group_004,Paraphrase control,valid,high>mid>low,1
vitality_setting_013,spatial_group_004,Alias/order control,valid,high>mid>low,1
vitality_setting_013,spatial_group_004,Exact-repeat control,valid,high>mid>low,1
vitality_setting_013,spatial_group_004,Irrelevant-number control,valid,high>mid>low,1
vitality_setting_014,spatial_group_004,Primary wording,valid,high>mid>low,1
vitality_setting_015,spatial_group_004,Primary wording,valid,high>mid>low,1
