prompt_variant_id,setting_id,split,relation,input_direction,surface,answer_order,expected_answer,opposite_answer,expected_margin,expected_top1,logp_rise,logp_fall,logp_same
vitality_variant_0001,vitality_mechanism_setting_001,development,default,increase,surface_a,forward,rise,fall,9.687499956751708,1,-0.0006246999255381,-9.688124656677246,-7.750624656677246
vitality_variant_0002,vitality_mechanism_setting_001,development,default,increase,surface_a,reverse,rise,fall,9.06250042593456,1,-0.0003695997002068,-9.062870025634766,-9.515995025634766
vitality_variant_0003,vitality_mechanism_setting_001,development,default,increase,surface_b,forward,rise,fall,10.93749989864591,1,-0.000188928868738,-10.937688827514648,-9.062688827514648
vitality_variant_0004,vitality_mechanism_setting_001,development,default,increase,surface_b,reverse,rise,fall,10.234374651074177,1,-0.0001319559814874,-10.234506607055664,-11.234506607055664
vitality_variant_0005,vitality_mechanism_setting_001,development,default,decrease,surface_a,forward,fall,rise,5.078124770894647,1,-5.090170860290527,-0.0120460893958807,-5.246420860290527
vitality_variant_0006,vitality_mechanism_setting_001,development,default,decrease,surface_a,reverse,fall,rise,4.437500203028321,1,-4.458074569702148,-0.0205743666738271,-4.817449569702148
vitality_variant_0007,vitality_mechanism_setting_001,development,default,decrease,surface_b,forward,fall,rise,5.25000009033829,1,-5.258907318115234,-0.0089072277769446,-5.727657318115234
vitality_variant_0008,vitality_mechanism_setting_001,development,default,decrease,surface_b,reverse,fall,rise,4.640625192783773,1,-4.655242919921875,-0.014617727138102,-5.405242919921875
vitality_variant_0009,vitality_mechanism_setting_001,development,theory,increase,surface_a,forward,rise,fall,15.51562535764242,1,-5.364403477869928e-06,-15.515630722045898,-15.468755722045898
vitality_variant_0010,vitality_mechanism_setting_001,development,theory,increase,surface_a,reverse,rise,fall,14.093750000065484,1,-1.1444026313256472e-05,-14.093761444091797,-16.406261444091797
vitality_variant_0011,vitality_mechanism_setting_001,development,theory,increase,surface_b,forward,rise,fall,15.750000357647878,1,-6.318072337307967e-06,-15.750006675720217,-14.843756675720217
vitality_variant_0012,vitality_mechanism_setting_001,development,theory,increase,surface_b,reverse,rise,fall,14.18750000005457,1,-1.0490362910786644e-05,-14.18751049041748,-17.179697036743164
vitality_variant_0013,vitality_mechanism_setting_001,development,theory,decrease,surface_a,forward,fall,rise,7.265625059371814,1,-7.266538143157959,-0.0009130837861448,-9.1727876663208
vitality_variant_0014,vitality_mechanism_setting_001,development,theory,decrease,surface_a,reverse,fall,rise,8.593749885505531,1,-8.594447135925293,-0.0006972504197619,-7.735072135925293
vitality_variant_0015,vitality_mechanism_setting_001,development,theory,decrease,surface_b,forward,fall,rise,6.046875138534233,1,-6.049599647521973,-0.0027245089877396,-8.752724647521973
vitality_variant_0016,vitality_mechanism_setting_001,development,theory,decrease,surface_b,reverse,fall,rise,5.9843751571606845,1,-5.987435340881348,-0.0030601837206631,-7.878060340881348
vitality_variant_0017,vitality_mechanism_setting_001,development,reverse,increase,surface_a,forward,fall,rise,6.812500152620487,1,-6.813723564147949,-0.0012234115274623,-10.54809856414795
vitality_variant_0018,vitality_mechanism_setting_001,development,reverse,increase,surface_a,reverse,fall,rise,5.093750213738531,1,-5.100592136383057,-0.0068419226445257,-7.616217136383057
vitality_variant_0019,vitality_mechanism_setting_001,development,reverse,increase,surface_b,forward,fall,rise,7.187499838299118,1,-7.188849449157715,-0.0013496108585968,-7.751349449157715
vitality_variant_0020,vitality_mechanism_setting_001,development,reverse,increase,surface_b,reverse,fall,rise,6.078124974155799,1,-6.081462860107422,-0.0033378859516233,-7.081462860107422
vitality_variant_0021,vitality_mechanism_setting_001,development,reverse,decrease,surface_a,forward,rise,fall,1.0156250596046448,1,-0.3106421828269958,-1.3262672424316406,-14.91611099243164
vitality_variant_0022,vitality_mechanism_setting_001,development,reverse,decrease,surface_a,reverse,rise,fall,3.5312499701976776,1,-0.0295656025409698,-3.5608155727386475,-16.021753311157227
vitality_variant_0023,vitality_mechanism_setting_001,development,reverse,decrease,surface_b,forward,rise,fall,-0.15625,0,-0.7790225744247437,-0.6227725744247437,-6.427460193634033
vitality_variant_0024,vitality_mechanism_setting_001,development,reverse,decrease,surface_b,reverse,rise,fall,0.734375,1,-0.3953033685684204,-1.1296783685684204,-7.153115749359131
vitality_variant_0025,vitality_mechanism_setting_001,development,neutral,increase,surface_a,forward,same,rise,9.718749885440047,1,-9.718846321105955,-11.156346321105955,-9.643566590966655e-05
