artifact_id,sha256,disposition,public_replacement,note
ai4us-artifact-sha256-441a86fbe94e991845e5b5d85925f60c0ac857b75dd65da03393da35c7b23112,441a86fbe94e991845e5b5d85925f60c0ac857b75dd65da03393da35c7b23112,exact_private_table_excluded,data/figure_sources/main/figure3_empirical_variation/Fig03_empirical_complexity_v05.source.csv,The restricted exact input is not redistributed; the listed aggregate is the public replacement.
ai4us-artifact-sha256-598ad78d49c4fa433d5e4b3537741f39fb695969eaaac083f24da1789531c12c,598ad78d49c4fa433d5e4b3537741f39fb695969eaaac083f24da1789531c12c,represented_by_released_source_table,data/figure_sources/supplementary/FigS04/FigS04.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-32eba3e46a52b3e4119607853acdc2daaa950b79e7bb39513a19fee5323666b5,32eba3e46a52b3e4119607853acdc2daaa950b79e7bb39513a19fee5323666b5,represented_by_released_source_table,data/figure_sources/supplementary/FigS05/FigS05.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-b06babe4b10d3562b02f8976b5ae273c51f30733c9097c8d9035ae493b4cd6f0,b06babe4b10d3562b02f8976b5ae273c51f30733c9097c8d9035ae493b4cd6f0,represented_by_released_source_table,data/figure_sources/supplementary/FigS05/FigS05.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-ceb85419b9848b5a1e077dd019a3bf2270fedbb96c1991c627cffb2cfdc3c46a,ceb85419b9848b5a1e077dd019a3bf2270fedbb96c1991c627cffb2cfdc3c46a,represented_by_identifier_free_SD3,data/figure_sources/main/figure4_conditional_interventions/Fig04_conditional_interventions_v10.source.csv;data/processed/model_outputs/distance_decay_intervention_outputs.csv,The listed identifier-free public artifact is the releasable representation.
ai4us-artifact-sha256-81a0938fe0d77056c1a944e164d495c14df7675357233d176ad90b3d18164459,81a0938fe0d77056c1a944e164d495c14df7675357233d176ad90b3d18164459,represented_by_released_source_table,data/figure_sources/supplementary/FigS05/FigS05.source.csv;data/figure_sources/main/figure4_conditional_interventions/Fig04_conditional_interventions_v10.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-6f12e9fa4bcdcf0552c9d1475ba5934d35ba061e04ee56f2932b1dd411072285,6f12e9fa4bcdcf0552c9d1475ba5934d35ba061e04ee56f2932b1dd411072285,represented_by_released_source_table,data/figure_sources/supplementary/FigS05/FigS05.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-10936099e5ed1a6a050f93459844925c76b05eb681115b1a9719172320fdca12,10936099e5ed1a6a050f93459844925c76b05eb681115b1a9719172320fdca12,represented_by_released_source_table,data/figure_sources/supplementary/FigS04/FigS04.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-4d0cc1a52d12b3f99b2348102b2e08fda5ceab2ba43e08f16cf9769e8720e114,4d0cc1a52d12b3f99b2348102b2e08fda5ceab2ba43e08f16cf9769e8720e114,represented_by_released_source_table,data/figure_sources/supplementary/FigS04/FigS04.source.csv,The listed released source table is the public representation.
ai4us-artifact-sha256-a534c957cf0c3d8a67a8706ce9635cbd6b424678113d6f036950581e41ad4433,a534c957cf0c3d8a67a8706ce9635cbd6b424678113d6f036950581e41ad4433,exact_private_table_excluded,data/figure_sources/main/figure2_relationships/Fig02_relationships_v07.source.csv;data/processed/model_outputs/distance_decay_generation_profiles.csv,The restricted exact input is not redistributed; the listed aggregate is the public replacement.
