artifact_id,source_status,sha256,disposition,public_replacement,note
ai4us-artifact-sha256-e840d6a6f8503ba4d874e0a612b123e34cf2eca89fec7d4b057696ca3377b244,bundled,e840d6a6f8503ba4d874e0a612b123e34cf2eca89fec7d4b057696ca3377b244,superseded_release_binding,manifest/release_manifest.json,The deterministic public release manifest supersedes this binding.
ai4us-artifact-sha256-3b7194eb272671d71387b0e33d5c97f64aced3a3350cca6f4189feb9ae14022a,bundled,3b7194eb272671d71387b0e33d5c97f64aced3a3350cca6f4189feb9ae14022a,bundled_hash_exact,data/figure_sources/main/figure2_relationships/Fig02_relationships_v07.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-1a7928bc54acad4f72fb5c5830230db0bcc6e9bea5d906bf509b31e335518f64,bundled,1a7928bc54acad4f72fb5c5830230db0bcc6e9bea5d906bf509b31e335518f64,author_side_manifest_identity_with_reader_successor,data/figure_sources/main/figure2_relationships/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-8f4e3b6573cb596675a5b362fe794a73875673ca994cb1dc92c3425cb7c599f7,bundled,8f4e3b6573cb596675a5b362fe794a73875673ca994cb1dc92c3425cb7c599f7,bundled_hash_exact,data/figure_sources/main/figure3_empirical_variation/Fig03_empirical_complexity_v05.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-4d1d5c059a0ad2c5cb3c2f5eed076692a5a39549bee8c39ecdba237b901d1b04,bundled,4d1d5c059a0ad2c5cb3c2f5eed076692a5a39549bee8c39ecdba237b901d1b04,author_side_manifest_identity_with_reader_successor,data/figure_sources/main/figure3_empirical_variation/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-4705898bcfba6b0ffbd7b3f109cbff3b380b0ec37f52138b9ec20cb24a638148,bundled,4705898bcfba6b0ffbd7b3f109cbff3b380b0ec37f52138b9ec20cb24a638148,bundled_hash_exact,data/figure_sources/main/figure4_conditional_interventions/Fig04_conditional_interventions_v10.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-d116df61ee28fd661cca9aabeaca8415d00afbd0e98730d063f1f9d7033ea7ab,bundled,d116df61ee28fd661cca9aabeaca8415d00afbd0e98730d063f1f9d7033ea7ab,author_side_manifest_identity_with_reader_successor,data/figure_sources/main/figure4_conditional_interventions/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-33be29a775f8d65a50fa93b38de4f017c51775a0691cd93a964e4c5dc6cb4543,bundled,33be29a775f8d65a50fa93b38de4f017c51775a0691cd93a964e4c5dc6cb4543,bundled_hash_exact,data/figure_sources/main/figure5_open_model_analysis/Fig05_mechanism_evidence_v13.source.csv,The bundled public artifact retains the recorded SHA-256.
ai4us-artifact-sha256-50a8edde76d3e99f94c6d607fb5e995c018f96f1970940e51eeecac4e3663183,bundled,50a8edde76d3e99f94c6d607fb5e995c018f96f1970940e51eeecac4e3663183,author_side_manifest_identity_with_reader_successor,data/figure_sources/main/figure5_open_model_analysis/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
ai4us-artifact-sha256-6cb48c6c13c4c36b244c20a9ba9bbe8ef3483db36594a884f7488d9e74a3498c,bundled,6cb48c6c13c4c36b244c20a9ba9bbe8ef3483db36594a884f7488d9e74a3498c,author_side_manifest_identity_with_reader_successor,data/figure_sources/manifest.json,The author-side artifact is identified by hash; the listed public reader manifest is current.
